"","Young vs Old
(pF, Fleischer et al. 2018)","Young vs Old
(FC, Hernandez et al. 2012)","Young vs Old
(Mouse Brain, Tabula Muris)","Young vs Old
(FC, GTEx)","Young vs Old
(Cortex, GTEx)","Young vs Old
(SN, GTEx)","iPSC-FIB vs pFIB
(Old Donors)","iPSC-FIB vs pFIB
(Young Donors)","Young vs Old
(iPSC-FIB)","WT vs Progerin
(Miller et al. 2013)","WT vs SATB1-KO
(Riessland et al. 2019)","WT vs SLO
(Fathi et al. 2022)","iPSCiN vs pFIB-iN
(Mertens et al. 2021)"
"Pan markers",1.76935873281408,2.32495155123829,0.931401192271279,1.46637817241036,2.07696104150638,1.32137490905655,4.24010244411085,1.24920423021407,-0.462782720720429,-0.275667388062497,1.24785572068464,1.93118695208531,1.51911079158718
"pF markers",2.72390151399204,-0.215588671282041,0.0808571868618433,-0.344594126271642,-0.576291282355852,-0.132809399387809,3.29550635911815,0.796556847902045,-0.707578032746972,0.116978432153974,-1.60357109068376,-0.705112581325686,1.68417074504542
"Neuronal markers",-0.508818693042251,2.68379479128995,1.53462988267736,2.67299905079304,3.02952337960114,1.92788206844666,1.05248883489092,1.13074230267467,0.198233267995178,1.98541968877404,1.97562649476249,4.22031254786628,1.49839883847441
"FC markers",-0.57507972307906,3.65844171461659,1.44395223672983,3.26827106139628,3.63633982656765,1.44810313765406,1.05397027996554,1.24414654074494,-0.0789189593220096,2.89352754439667,0.0890628050558181,3.70317243697384,1.00294451774363
"SN markers",0.378657757199825,0.282488767677734,0.404183152444208,0.136442459655101,0.518435090008905,0.646528759515905,-0.118539792211331,-0.179393989833022,-0.48135399770495,-0.682086194663183,1.08101067962673,-0.222351599979654,0.0221285991398738
