"","Young vs Old (Fleischer pF) 10vs10","Young vs Old (Fleischer pF) 7vs7","Young vs Old (Fleischer pF) 4vs4","Young vs HGPS (Fleischer pF) 9vs10"
"L1_Primary_ALL",1.76935873281408,1.59585963103694,1.09385763980348,0.0945403252915764
"L2_pF only",2.72390151399204,2.46836972628442,1.82927275320775,0.193711819990169
"L6_FC_SN",-0.508818693042251,-0.425168281284762,-0.286108224967774,-0.242595531826197
"L7_FC only",-0.57507972307906,-0.434388247014289,-0.334846297658616,-0.323973752791405
"L8_SN only",0.378657757199825,0.340741489658423,0.283502285196831,-0.106822365870414
