,pvalue,padj,log2FoldChange
IGFBP4,2.4415E-04,8.0003E-03,1.2393
CTSF,2.4751E-04,8.0415E-03,0.3217
ZNF398,2.4913E-04,8.0423E-03,-0.2492
RP11-156L14.1,2.4950E-04,8.0423E-03,-1.1414
GBA,2.5285E-04,8.1024E-03,0.4912
CTXN1,2.5770E-04,8.1801E-03,1.5953
C5orf42,2.5910E-04,8.1845E-03,-0.2231
NSUN5,2.6031E-04,8.1961E-03,0.6614
RP11-373N22.3,2.6077E-04,8.1961E-03,-0.6215
RBM25,2.6562E-04,8.3166E-03,-0.3489
CACNA2D2,2.7188E-04,8.4319E-03,1.1969
TH,2.8318E-04,8.6884E-03,3.1889
MAPK13,2.9410E-04,8.8529E-03,-0.7689
GABRA6,2.9501E-04,8.8568E-03,-2.1613
BYSL,2.9532E-04,8.8568E-03,0.4830
WRN,3.0459E-04,9.0514E-03,-0.3385
RP11-264I13.2,3.0489E-04,9.0514E-03,-0.6225
MANEAL,3.0635E-04,9.0714E-03,0.7881
KEL,3.0871E-04,9.0922E-03,-1.1602
RP5-916O11.3,3.1569E-04,9.2312E-03,-0.8412
AC104699.1,3.2344E-04,9.3470E-03,-1.0769
RP11-373E16.3,3.2449E-04,9.3549E-03,-1.1625
EYS,3.3409E-04,9.5318E-03,-0.4505
ZNF19,3.4491E-04,9.7676E-03,-0.4934
ERG,3.4537E-04,9.7676E-03,-1.1646
WDR66,3.5000E-04,9.8353E-03,-0.5329
KATNBL1,3.5017E-04,9.8353E-03,-0.3801
CASC7,3.5199E-04,9.8695E-03,-0.3709
COG4,3.5368E-04,9.8830E-03,0.2596
OST4,3.5810E-04,9.9896E-03,0.2802
SLC25A30,3.6103E-04,1.0020E-02,-0.4184
KIAA0040,3.6599E-04,1.0141E-02,-1.1530
SDPR,3.6761E-04,1.0168E-02,-1.1279
ANO2,3.6839E-04,1.0173E-02,-0.9368
STRA13,3.7463E-04,1.0310E-02,0.5570
POLR2C,3.7654E-04,1.0345E-02,0.3092
FBXO4,4.1373E-04,1.1034E-02,-0.3640
MSR1,4.1603E-04,1.1063E-02,-1.0643
NEK5,4.2518E-04,1.1193E-02,-0.7385
PTK6,4.2999E-04,1.1248E-02,-1.1733
SLC25A37,4.3139E-04,1.1248E-02,-0.4840
CD6,4.3292E-04,1.1253E-02,1.1490
LETM2,4.3432E-04,1.1253E-02,-0.5161
C1orf64,4.3550E-04,1.1259E-02,-1.4458
RP11-713P17.3,4.4005E-04,1.1325E-02,0.7808
TRPC6,4.4010E-04,1.1325E-02,1.6535
PRKCH,4.5110E-04,1.1407E-02,-0.8541
ETS2,4.6659E-04,1.1682E-02,-0.7792
HRAS,4.7573E-04,1.1857E-02,0.6540
LAMA4,4.7684E-04,1.1866E-02,0.4738
GPR141,4.8635E-04,1.1922E-02,-1.3989
NOC4L,4.8709E-04,1.1922E-02,0.8030
IFT122,5.0251E-04,1.2227E-02,-0.3453
MIR4458HG,5.0907E-04,1.2279E-02,-0.4633
EN1,5.1136E-04,1.2279E-02,2.3431
RP11-1020A11.2,5.1140E-04,1.2279E-02,-0.5237
NEU1,5.1783E-04,1.2352E-02,0.7281
TBC1D8B,5.1820E-04,1.2352E-02,-0.6075
AP2S1,5.2709E-04,1.2429E-02,0.7237
EDNRB,5.3210E-04,1.2482E-02,0.7952
ROBO4,5.3577E-04,1.2486E-02,-0.9601
TNNI3K,5.4226E-04,1.2559E-02,-0.8775
SF3B5,5.5168E-04,1.2652E-02,0.4140
C15orf59,5.6242E-04,1.2742E-02,1.0555
RP11-707A18.1,5.6412E-04,1.2742E-02,-1.1562
ANKRD29,5.6462E-04,1.2742E-02,0.9599
CCNB2,5.6505E-04,1.2742E-02,-0.8296
RP11-123C21.2,5.6981E-04,1.2790E-02,-0.8206
CDKN2B,5.7411E-04,1.2790E-02,-0.7917
NDUFA2,5.7910E-04,1.2884E-02,0.5684
UQCRC1,5.8559E-04,1.2982E-02,0.6578
ZFHX4-AS1,6.0847E-04,1.3320E-02,0.5478
BCS1L,6.1492E-04,1.3341E-02,0.3602
RP11-529H20.6,6.1594E-04,1.3341E-02,-0.7529
MDH2,6.1960E-04,1.3341E-02,0.6716
GRAMD2,6.2194E-04,1.3344E-02,-1.4264
PLD3,6.2607E-04,1.3349E-02,0.9899
CORO2A,6.2925E-04,1.3382E-02,1.3449
SLC6A4,6.5091E-04,1.3647E-02,-2.6245
LRCH1,6.6730E-04,1.3849E-02,-0.4247
IGF2BP2,6.6866E-04,1.3860E-02,0.8966
OR7E7P,6.8133E-04,1.4045E-02,-0.6427
RP11-243J16.7,6.8146E-04,1.4045E-02,-0.8362
GRIA3,6.8654E-04,1.4070E-02,0.4299
FSD1,6.9406E-04,1.4163E-02,0.8463
DDIT3,7.1644E-04,1.4465E-02,0.4750
SART3,7.1717E-04,1.4465E-02,-0.1747
LCP2,7.1819E-04,1.4465E-02,-0.6372
FITM2,7.1952E-04,1.4474E-02,0.4365
PPP1R15A,7.2650E-04,1.4518E-02,1.3085
LPO,7.3628E-04,1.4632E-02,1.7096
SESTD1,7.4555E-04,1.4718E-02,-0.4074
RELL1,7.4566E-04,1.4718E-02,-0.6581
XRCC2,7.4601E-04,1.4718E-02,-0.5197
SLC5A7,7.5572E-04,1.4874E-02,-3.4208
GPS1,7.6443E-04,1.4958E-02,0.5687
SREK1,7.7786E-04,1.5145E-02,-0.2729
APMAP,7.9470E-04,1.5346E-02,0.4807
SIGLEC9,8.0634E-04,1.5510E-02,-1.3076
ATP6V0D1,8.1956E-04,1.5647E-02,0.7090
ATAT1,8.2904E-04,1.5731E-02,0.3297
SERPINB9,8.3388E-04,1.5731E-02,-0.4565
NDUFA7,8.4553E-04,1.5896E-02,0.4467
LTB4R,8.7965E-04,1.6369E-02,-0.8924
CLIP3,9.2155E-04,1.6917E-02,0.7719
PLCH1,9.2734E-04,1.6980E-02,0.9644
CAV1,9.3516E-04,1.7053E-02,-1.0051
PRDX2,9.3687E-04,1.7062E-02,0.7888
C12orf10,9.3891E-04,1.7062E-02,0.7329
CENPI,9.4036E-04,1.7062E-02,-0.4906
DDX46,9.6056E-04,1.7342E-02,-0.2875
ARMC3,9.7281E-04,1.7429E-02,-0.9025
ARSK,9.7394E-04,1.7430E-02,0.5136
ACOT7,9.7627E-04,1.7453E-02,1.0936
FBXW12,9.8446E-04,1.7541E-02,-0.7626
SCO1,9.8772E-04,1.7580E-02,0.2203
CA13,9.9186E-04,1.7620E-02,0.5155
GSTM3P1,9.9923E-04,1.7689E-02,-1.0351
RNF25,1.0024E-03,1.7711E-02,0.3351
ZNF503,1.0084E-03,1.7769E-02,1.0238
RGAG1,1.0112E-03,1.7786E-02,1.5321
PCDHGC3,1.0186E-03,1.7807E-02,0.4387
C19orf53,1.0596E-03,1.8205E-02,0.3453
KRT8P1,1.0684E-03,1.8245E-02,-0.8792
ACTR1A,1.0685E-03,1.8245E-02,0.4465
RP11-752G15.3,1.0941E-03,1.8472E-02,-0.8769
PSMC4,1.0948E-03,1.8472E-02,0.4260
PYCR1,1.0987E-03,1.8472E-02,0.7691
RP11-359E3.4,1.0987E-03,1.8472E-02,-0.5519
C10orf129,1.1008E-03,1.8475E-02,-0.6816
PSMD4,1.1116E-03,1.8555E-02,0.4568
KCNQ4,1.1187E-03,1.8641E-02,-0.8264
CRKL,1.1391E-03,1.8879E-02,0.1707
TNFRSF10A,1.1432E-03,1.8908E-02,-1.1576
RP11-748H22.1,1.1479E-03,1.8948E-02,2.2753
ZNF497,1.1508E-03,1.8977E-02,-0.7136
SLC25A29,1.1529E-03,1.8993E-02,-0.6999
FKBP4,1.1704E-03,1.9184E-02,0.5303
ZNF805,1.1890E-03,1.9392E-02,-0.2047
TOMM40,1.1953E-03,1.9447E-02,0.6333
SPOCD1,1.1959E-03,1.9447E-02,-0.7651
STARD8,1.2094E-03,1.9576E-02,-1.1770
ZNF571-AS1,1.2098E-03,1.9576E-02,-0.4474
RP11-173A16.2,1.2216E-03,1.9707E-02,-0.4911
FXR2,1.2224E-03,1.9707E-02,0.4368
RP11-319G6.1,1.2324E-03,1.9824E-02,-0.3569
AAMP,1.2456E-03,1.9968E-02,0.2847
PADI1,1.2462E-03,1.9968E-02,1.5623
SP100,1.2462E-03,1.9968E-02,-0.5704
