,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
GRIN2A,8.0977E-07,6.3631E-04,1.7670,1.2719E-03,0.9906,6.7392E-07,2.5433
PAK7,9.5846E-07,6.9226E-04,1.3663,2.1953E-05,1.0215,1.3626E-03,1.7111
YPEL1,9.6234E-07,6.9367E-04,1.3828,1.2159E-04,0.5914,1.2657E-03,2.1741
QPRT,1.0140E-06,7.1203E-04,-1.3199,1.4134E-03,-0.7069,1.0697E-05,-1.9328
RASSF3,1.0528E-06,7.2554E-04,1.0166,1.8801E-05,0.7247,1.4323E-03,1.3085
KIAA1644,1.0588E-06,7.2761E-04,1.1098,1.2987E-03,0.5687,1.5656E-04,1.6508
TENM3,1.0757E-06,7.3339E-04,1.6124,3.7727E-04,0.9081,1.0895E-03,2.3168
RP11-168K9.2,1.0883E-06,7.3768E-04,2.2680,4.5183E-07,1.5024,1.4749E-03,3.0336
NMU,1.0960E-06,7.4026E-04,3.0227,1.9568E-06,2.0190,1.4786E-03,4.0264
ANKRD6,1.1033E-06,7.4272E-04,1.1554,4.2423E-04,0.5166,1.0612E-03,1.7942
RASGRF1,1.1238E-06,7.4960E-04,1.3686,1.3308E-03,0.8047,1.6842E-04,1.9326
ASAP1,1.1589E-06,7.6123E-04,1.1453,7.8231E-08,0.7619,1.5224E-03,1.5287
YWHAZP4,1.1919E-06,7.7199E-04,1.8641,1.5435E-03,0.5610,4.4237E-07,3.1673
ARL15,1.3036E-06,8.0736E-04,0.9889,2.8983E-04,0.7060,1.3249E-03,1.2718
CALML3-AS1,1.3826E-06,8.3144E-04,2.6135,1.4673E-11,1.9090,1.6629E-03,3.3181
RP5-827C21.4,1.5651E-06,8.8462E-04,-1.4454,1.2502E-03,-0.7214,5.1901E-04,-2.1693
MCHR2,1.5663E-06,8.8497E-04,2.9007,1.7604E-03,1.0255,9.5356E-06,4.7759
AC064875.2,1.5680E-06,8.8545E-04,1.7250,5.4050E-13,1.1630,1.7709E-03,2.2869
RAB11FIP2,1.5731E-06,8.8687E-04,0.8836,3.7644E-05,0.5629,1.7361E-03,1.2043
SPAG6,1.8794E-06,9.6937E-04,1.6766,6.2177E-05,1.1131,1.8766E-03,2.2401
SQLE,1.9578E-06,9.8940E-04,1.0633,1.3576E-03,0.6631,6.2122E-04,1.4634
DNAJC13,1.9741E-06,9.9350E-04,0.7523,1.6866E-04,0.4032,1.8183E-03,1.1013
ADAM19,2.0165E-06,1.0041E-03,1.3420,3.9060E-05,0.8272,1.9692E-03,1.8567
