,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC
OSBPL1A,9.7847E-05,6.9946E-03,0.9654,2.2114E-04,0.5446,1.3768E-02,1.3863
SDHAF2,9.8317E-05,7.0113E-03,-1.0023,6.6358E-03,-0.4413,7.3868E-03,-1.5634
KIAA1107,1.0455E-04,7.2301E-03,1.0177,1.2982E-03,0.7580,1.3162E-02,1.2774
AGPAT2,1.0515E-04,7.2510E-03,-1.4354,1.3980E-02,-0.7320,5.2172E-04,-2.1388
SCN5A,1.0669E-04,7.3038E-03,1.7206,3.1254E-07,1.5183,1.4607E-02,1.9230
FILIP1,1.0918E-04,7.3886E-03,1.2369,5.5252E-03,0.7142,9.2519E-03,1.7596
FSTL3,1.1073E-04,7.4407E-03,-1.2414,1.4881E-02,-0.5064,2.6127E-09,-1.9764
YWHAZP3,1.1107E-04,7.4521E-03,1.7906,1.4904E-02,0.6027,9.7505E-08,2.9785
SFTPC,1.1468E-04,7.5723E-03,-1.5409,1.5943E-03,-0.8651,1.3550E-02,-2.2167
MSL1,1.1745E-04,7.6633E-03,0.7355,1.3108E-03,0.3463,1.4016E-02,1.1248
GPX3,1.1829E-04,7.6907E-03,-1.2969,1.4700E-02,-0.5389,6.8171E-04,-2.0549
RFC5,1.2084E-04,7.7731E-03,0.6894,1.0888E-02,0.2647,4.6584E-03,1.1141
KCNH5,1.2109E-04,7.7812E-03,1.9314,1.3150E-03,0.9256,1.4247E-02,2.9372
C11orf95,1.2319E-04,7.8483E-03,0.8161,2.3753E-05,0.5911,1.5673E-02,1.0411
FAM132B,1.3055E-04,8.0792E-03,1.2451,1.2685E-04,0.8248,1.6031E-02,1.6654
PDYN,1.3068E-04,8.0833E-03,1.6525,4.1552E-03,1.1780,1.2011E-02,2.1270
RAP2B,1.3120E-04,8.0994E-03,1.0940,5.2229E-04,0.7865,1.5677E-02,1.4014
HECTD2,1.3223E-04,8.1313E-03,1.0524,1.9463E-04,0.5782,1.6068E-02,1.5267
H2AFJ,1.3303E-04,8.1556E-03,-1.2573,1.2833E-02,-0.7832,3.4783E-03,-1.7314
SLN,1.3444E-04,8.1987E-03,2.0787,1.2630E-02,1.3858,3.7678E-03,2.7717
TM6SF1,1.3454E-04,8.2018E-03,0.9964,1.3439E-02,0.5100,2.9650E-03,1.4828
SSX2IP,1.3476E-04,8.2086E-03,0.9606,4.0461E-04,0.8292,1.6013E-02,1.0921
VWA1,1.3685E-04,8.2721E-03,-1.3475,1.3265E-02,-0.9931,3.2789E-03,-1.7018
SLC44A3,1.4036E-04,8.3774E-03,-1.0061,6.5921E-03,-0.7118,1.0163E-02,-1.3003
CLU,1.4342E-04,8.4681E-03,-1.5101,1.6922E-02,-0.4950,1.3771E-05,-2.5252
HIST1H2BK,1.4561E-04,8.5325E-03,0.8817,5.9070E-04,0.6787,1.6474E-02,1.0847
TAF6L,1.4584E-04,8.5393E-03,-0.8550,1.1338E-03,-0.4012,1.5945E-02,-1.3088
PIK3R2,1.4768E-04,8.5931E-03,0.8540,1.3196E-03,0.4900,1.5867E-02,1.2180
RP1-90J20.11,1.4956E-04,8.6476E-03,-1.2022,2.5100E-06,-0.8769,1.7293E-02,-1.5275
KCTD16,1.5085E-04,8.6848E-03,1.1885,1.4427E-02,0.7114,2.9427E-03,1.6656
RASGRF2,1.5156E-04,8.7051E-03,0.9493,4.8251E-03,0.5756,1.2585E-02,1.3229
UBR3,1.5232E-04,8.7270E-03,0.8245,1.1699E-03,0.5576,1.6284E-02,1.0914
CHM,1.5525E-04,8.8104E-03,0.9254,1.5941E-02,0.4722,1.6800E-03,1.3786
EGR1,1.5616E-04,8.8363E-03,1.4843,1.2250E-04,1.5030,1.7550E-02,1.4656
KITLG,1.5704E-04,8.8611E-03,1.2633,1.7073E-02,0.5730,6.4878E-04,1.9537
PTBP3,1.6117E-04,8.9771E-03,0.7365,3.1057E-06,0.5236,1.7951E-02,0.9494
APPL1,1.6214E-04,9.0038E-03,0.5905,9.6497E-05,0.4492,1.7911E-02,0.7319
COX10-AS1,1.6549E-04,9.0964E-03,0.8863,3.5376E-05,0.5137,1.8157E-02,1.2588
TPBGL,1.7042E-04,9.2310E-03,1.2679,2.0035E-03,0.8855,1.6459E-02,1.6503
SFRP2,1.7047E-04,9.2323E-03,-1.3533,8.6162E-03,-1.0546,9.8485E-03,-1.6520
TRPC4,1.7418E-04,9.3321E-03,1.3841,3.0249E-06,0.7770,1.8661E-02,1.9913
GRM2,1.7866E-04,9.4515E-03,1.0082,7.9998E-03,0.6852,1.0903E-02,1.3313
HS3ST1,1.7944E-04,9.4720E-03,1.0019,1.5146E-05,0.8270,1.8929E-02,1.1768
DUSP6,1.8063E-04,9.5034E-03,1.2996,5.6356E-05,1.3717,1.8950E-02,1.2275
SLC25A28,1.8225E-04,9.5460E-03,-0.6262,1.2157E-03,-0.2798,1.7876E-02,-0.9726
ZYX,1.8252E-04,9.5531E-03,-0.8792,4.9157E-03,-0.6716,1.4191E-02,-1.0868
LGALS3BP,1.8291E-04,9.5633E-03,-1.1714,1.6836E-02,-0.6708,2.2907E-03,-1.6720
SHD,1.8406E-04,9.5932E-03,-1.3694,1.6107E-02,-0.8016,3.0790E-03,-1.9373
MSANTD1,1.8691E-04,9.6672E-03,1.2367,5.3221E-03,0.6233,1.4012E-02,1.8502
GUSBP5,1.8864E-04,9.7118E-03,1.4204,3.2743E-03,0.8491,1.6149E-02,1.9916
CGGBP1,1.9273E-04,9.8166E-03,0.6688,1.1823E-02,0.3504,7.8099E-03,0.9872
MEPCE,1.9682E-04,9.9203E-03,-0.7592,5.8265E-03,-0.3604,1.4014E-02,-1.1580
ARL2,1.9845E-04,9.9612E-03,-1.2205,1.5036E-02,-0.5250,4.8861E-03,-1.9159
THBS1,2.0684E-04,1.0170E-02,1.9392,1.8674E-02,0.6946,1.6653E-03,3.1839
GRID2,2.1024E-04,1.0253E-02,0.8189,8.3553E-04,0.3492,1.9670E-02,1.2886
COMMD4,2.1386E-04,1.0341E-02,-0.9794,1.1339E-02,-0.3969,9.3421E-03,-1.5620
ZWILCH,2.1671E-04,1.0409E-02,1.0362,2.2871E-03,0.7129,1.8532E-02,1.3596
FBXO34,2.1977E-04,1.0483E-02,1.0715,1.9560E-02,0.6043,1.4049E-03,1.5388
CPNE8,2.2007E-04,1.0490E-02,1.1105,3.1632E-04,0.6704,2.0663E-02,1.5505
EPN3,2.2070E-04,1.0505E-02,-2.1348,1.8965E-07,-1.3086,2.1010E-02,-2.9609
KLHL23,2.3667E-04,1.0878E-02,1.0982,9.1699E-19,0.9303,2.1757E-02,1.2661
STARD4,2.4349E-04,1.1034E-02,1.2010,1.3867E-06,1.1392,2.2066E-02,1.2629
LHX6,2.4478E-04,1.1063E-02,1.1584,2.1532E-02,0.5438,5.9397E-04,1.7730
ARFGEF1,2.4501E-04,1.1068E-02,0.5956,1.4918E-03,0.3125,2.0645E-02,0.8787
JAKMIP2,2.4560E-04,1.1081E-02,0.5632,3.1699E-04,0.3402,2.1846E-02,0.7862
GPR45,2.4713E-04,1.1116E-02,3.3767,2.1876E-02,0.5634,3.5620E-04,6.1901
ATG12,2.5364E-04,1.1261E-02,0.4967,1.3462E-02,0.2569,9.0603E-03,0.7364
CDC42EP3,2.5396E-04,1.1269E-02,1.0702,6.7109E-04,0.7405,2.1866E-02,1.3998
WDR44,2.5414E-04,1.1273E-02,0.8944,1.2769E-02,0.2512,9.7766E-03,1.5377
LINC00943,2.5621E-04,1.1318E-02,2.1823,2.5780E-15,2.6575,2.2637E-02,1.7071
ZBTB18,2.5785E-04,1.1354E-02,0.9537,3.4996E-07,0.9233,2.2709E-02,0.9841
ROBO1,2.6225E-04,1.1451E-02,0.8359,3.1879E-04,0.3853,2.2583E-02,1.2865
,,,,,,,
