,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
PSD4,3.4424E-04,4.2451E-02,-0.6332,3.6552E-03,-0.5713,7.0004E-02,-0.8654,5.3693E-02,-0.4628
SUPT6H,3.4439E-04,4.2457E-02,-0.3193,1.9052E-02,-0.2018,4.9326E-02,-0.6276,5.8993E-02,-0.1284
TMEM184C,3.4440E-04,4.2457E-02,0.3985,9.0322E-04,0.3191,6.8003E-02,0.6693,5.8466E-02,0.2070
GSK3B,3.4754E-04,4.2586E-02,0.6497,4.0771E-03,0.5072,9.0783E-03,1.0483,1.1460E-01,0.3934
MVP,3.4987E-04,4.2681E-02,-0.9418,1.3107E-02,-0.8472,1.4166E-03,-1.5896,1.1352E-01,-0.3886
NMNAT3,3.5529E-04,4.2900E-02,-0.5430,4.0715E-06,-0.5310,1.2205E-01,-0.7149,6.6472E-03,-0.3833
P2RY12,3.5548E-04,4.2908E-02,2.0337,3.2877E-04,1.3562,2.4068E-04,3.9564,1.2815E-01,0.7886
RP4-635E18.8,3.6781E-04,4.3398E-02,-0.5915,1.8525E-03,-0.3917,2.9567E-03,-1.0562,1.2539E-01,-0.3265
NUDT4,3.7243E-04,4.3579E-02,0.7564,6.7781E-04,0.8009,2.8260E-02,1.1459,1.0180E-01,0.3225
CSNK2A1,3.7340E-04,4.3617E-02,0.4519,5.2211E-06,0.4783,4.4790E-02,0.6615,8.6056E-02,0.2158
SPATS2,3.7421E-04,4.3648E-02,0.6679,1.4668E-02,0.4357,7.3922E-02,1.0921,4.2355E-02,0.4760
USP9X,3.7429E-04,4.3651E-02,0.4635,7.6963E-04,0.4831,2.4731E-02,0.7266,1.0545E-01,0.1809
DICER1-AS1,3.7564E-04,4.3704E-02,-0.7481,3.2744E-03,-0.6979,9.4231E-02,-1.0107,3.3607E-02,-0.5355
TOMM40L,3.7646E-04,4.3736E-02,0.5442,3.7067E-03,0.3881,5.2210E-02,0.8666,7.5291E-02,0.3780
C16orf87,3.7858E-04,4.3818E-02,0.6856,1.1699E-03,0.5863,1.9253E-02,1.2237,1.1103E-01,0.2467
RFK,3.8090E-04,4.3907E-02,0.9478,1.8013E-04,0.9358,5.4402E-03,1.2488,1.2610E-01,0.6589
ASAP2,3.8205E-04,4.3951E-02,1.1407,5.2651E-07,0.6366,1.4724E-02,2.5258,1.1713E-01,0.2598
BRINP1,3.8340E-04,4.4003E-02,0.8808,4.0916E-08,0.9647,3.3294E-02,1.1425,9.8715E-02,0.5353
DFNB59,3.8641E-04,4.4118E-02,-0.5927,2.6712E-03,-0.5543,1.0903E-01,-0.8288,2.0649E-02,-0.3950
RNF2,3.8894E-04,4.4214E-02,0.8398,1.1015E-05,0.7080,9.9011E-04,1.5199,1.3164E-01,0.2914
ST6GAL2,3.9535E-04,4.4455E-02,0.9557,1.1792E-08,0.7811,1.5875E-02,1.6693,1.1749E-01,0.4166
FAM53C,3.9663E-04,4.4503E-02,0.5359,4.3001E-02,0.2221,8.4855E-03,1.2142,8.2022E-02,0.1712
LRRN1,3.9825E-04,4.4564E-02,0.9304,3.5228E-16,0.8363,3.1101E-03,1.5878,1.3058E-01,0.3671
PSRC1,4.0138E-04,4.4680E-02,-0.7129,3.1038E-04,-0.6231,1.5439E-02,-0.9639,1.1829E-01,-0.5516
COPS8,4.0238E-04,4.4717E-02,0.5468,2.3645E-03,0.5364,4.7076E-02,0.7130,8.4711E-02,0.3912
C5,4.0502E-04,4.4815E-02,-0.8590,9.3659E-04,-0.7537,7.4804E-02,-1.4261,5.8704E-02,-0.3971
KIF3B,4.0704E-04,4.4889E-02,0.6811,2.8713E-08,0.7507,3.7036E-02,1.0207,9.7632E-02,0.2718
CNTN4,4.1510E-04,4.5183E-02,1.1294,1.6391E-04,0.8658,4.8057E-03,1.5720,1.3058E-01,0.9504
GRIK3,4.1870E-04,4.5314E-02,0.9635,1.9019E-03,0.8421,9.7171E-03,1.6314,1.2432E-01,0.4169
LINC00202-1,4.1877E-04,4.5316E-02,-0.9283,1.2762E-06,-0.9490,4.7333E-02,-1.2467,8.8615E-02,-0.5891
MMADHC,4.2074E-04,4.5387E-02,0.6693,2.4127E-07,0.8133,1.8647E-02,0.9183,1.1752E-01,0.2763
RAB3C,4.2816E-04,4.5652E-02,1.6252,3.3004E-04,1.0520,1.4703E-05,2.6369,1.3661E-01,1.1867
PFN2,4.3313E-04,4.5828E-02,0.5563,5.6127E-02,0.4368,4.5410E-02,0.7619,3.5949E-02,0.4703
NPTN,4.3314E-04,4.5829E-02,0.8230,8.7927E-03,0.6521,1.1200E-02,1.1957,1.1749E-01,0.6211
TMEM159,4.3418E-04,4.5865E-02,0.9270,1.5989E-02,0.5528,9.5203E-02,1.4114,2.6405E-02,0.8169
EPS15,4.3529E-04,4.5905E-02,0.5118,1.5843E-05,0.5959,6.8563E-03,0.7268,1.3084E-01,0.2128
PDHX,4.3564E-04,4.5917E-02,0.4693,2.6420E-05,0.4982,9.2565E-02,0.5395,4.5159E-02,0.3703
CCNA1,4.3726E-04,4.5973E-02,1.2165,1.2987E-03,0.8926,1.1329E-02,1.8181,1.2529E-01,0.9389
ZCWPW1,4.4190E-04,4.6136E-02,-0.7585,6.3835E-04,-0.6701,1.0441E-01,-1.0625,3.3354E-02,-0.5429
THEMIS2,4.4278E-04,4.6166E-02,-1.0368,1.2036E-04,-1.0402,8.3161E-02,-1.3889,5.5218E-02,-0.6812
,,,,,,,,,
