,CombinedP,AvgAdjP,AvgLogFC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
PRKCD,1.6056E-05,1.5281E-02,1.0341,3.4770E-06,0.9419,2.9686E-03,1.4598,4.2869E-02,0.7006
RP11-69E11.4,1.6070E-05,1.5285E-02,-1.1269,3.9827E-02,-0.4394,2.0322E-03,-2.0140,3.9954E-03,-0.9274
KIF26B,1.6360E-05,1.5376E-02,1.0499,1.2515E-05,0.6269,4.6115E-02,1.1786,1.9431E-06,1.3441
SEPT1,1.7573E-05,1.5748E-02,-1.0537,7.7597E-03,-0.8634,2.4525E-02,-1.6439,1.4958E-02,-0.6537
BDNF,1.7581E-05,1.5750E-02,1.5823,9.7288E-05,1.4130,4.0420E-04,2.3833,4.6748E-02,0.9508
SNX25,1.7673E-05,1.5777E-02,1.1429,1.1110E-06,0.8084,5.8267E-04,2.0372,4.6748E-02,0.5831
RP11-180N14.1,1.8236E-05,1.5943E-02,1.2629,1.5655E-03,0.9539,1.0955E-02,1.6004,3.5309E-02,1.2344
C1orf162,1.8456E-05,1.6007E-02,-1.0677,1.5904E-03,-0.9668,1.9934E-03,-1.5170,4.4437E-02,-0.7193
SPATS2L,1.9320E-05,1.6253E-02,0.4522,1.7106E-03,0.3200,4.7017E-02,0.7208,3.1418E-05,0.3157
EHBP1,1.9618E-05,1.6336E-02,0.6073,8.4858E-03,0.3420,2.2411E-02,0.8237,1.8111E-02,0.6561
CEACAM19,1.9898E-05,1.6413E-02,-1.2247,8.7539E-07,-1.3249,4.2063E-02,-1.2238,7.1766E-03,-1.1253
MMP2,2.0571E-05,1.6596E-02,1.0823,2.6424E-05,1.2320,2.2952E-03,1.3920,4.7467E-02,0.6228
CDK5R2,2.0810E-05,1.6660E-02,1.3704,6.3858E-04,0.9780,3.0203E-02,1.6516,1.9139E-02,1.4817
CCDC85A,2.1092E-05,1.6735E-02,1.7986,3.6180E-03,0.5947,2.4720E-05,3.9973,4.6563E-02,0.8038
NRXN3,2.1425E-05,1.6823E-02,1.0648,5.8331E-03,0.5531,1.2788E-06,1.9738,4.4635E-02,0.6675
FAM102B,2.1770E-05,1.6913E-02,1.4788,5.8634E-04,0.9768,2.6311E-05,2.6364,5.0126E-02,0.8232
CUX2,2.2706E-05,1.7152E-02,1.5897,7.1496E-06,0.9566,1.3953E-06,2.4754,5.1447E-02,1.3370
LUZP2,2.2761E-05,1.7166E-02,1.2642,2.5377E-22,1.4010,5.0482E-05,1.8661,5.1447E-02,0.5254
GSDMB,2.3365E-05,1.7316E-02,-0.9051,6.4563E-04,-0.8097,9.7940E-03,-1.2663,4.1509E-02,-0.6393
TCP11L1,2.3522E-05,1.7355E-02,0.8656,2.0665E-03,0.4228,2.9146E-05,1.7476,4.9969E-02,0.4264
SUCLA2,2.3740E-05,1.7408E-02,0.9237,5.2465E-04,0.7796,2.9068E-06,1.4550,5.1697E-02,0.5365
BCHE,2.4299E-05,1.7544E-02,1.0720,3.6984E-05,1.0300,4.4181E-02,1.3938,8.4132E-03,0.7921
STK17A,2.6516E-05,1.8062E-02,0.5728,1.0629E-03,0.3929,4.4961E-02,1.0288,8.1625E-03,0.2968
HCG11,2.7366E-05,1.8253E-02,1.1076,1.8459E-06,0.6147,1.7076E-03,2.2358,5.3050E-02,0.4723
TFAP2E,2.7915E-05,1.8374E-02,-1.0480,4.6347E-05,-1.2449,2.8576E-02,-1.1148,2.6500E-02,-0.7842
KLHL8,2.9136E-05,1.8638E-02,0.8200,5.7332E-04,0.5495,6.5013E-04,1.7089,5.4692E-02,0.2016
LGI4,2.9180E-05,1.8648E-02,-1.0887,2.6028E-03,-0.6175,6.7734E-12,-2.1627,5.3340E-02,-0.4859
CP,3.0870E-05,1.9001E-02,-2.7443,1.7395E-05,-3.1464,3.5576E-05,-3.7902,5.6950E-02,-1.2962
ERCC5,3.2173E-05,1.9265E-02,-0.6278,1.3268E-04,-0.3821,5.9397E-04,-1.2946,5.7067E-02,-0.2067
PPP2R5C,3.2404E-05,1.9311E-02,0.4845,2.0511E-05,0.5503,4.0436E-02,0.6920,1.7476E-02,0.2113
SLC10A4,3.3725E-05,1.9570E-02,2.0247,5.5933E-15,1.4424,1.7116E-03,2.5484,5.6997E-02,2.0833
FGF13,3.4761E-05,1.9768E-02,1.5721,5.1595E-07,0.8793,2.9926E-05,2.2567,5.9273E-02,1.5802
NPNT,3.6065E-05,2.0012E-02,1.2696,5.0077E-03,0.6396,4.8715E-02,1.6990,6.3132E-03,1.4701
TMEM167A,3.6066E-05,2.0012E-02,0.5660,3.7136E-05,0.5477,4.3020E-02,0.7883,1.6980E-02,0.3621
MYH7B,3.6777E-05,2.0143E-02,-1.2559,4.1780E-04,-1.1076,1.0411E-02,-1.9847,4.9600E-02,-0.6755
PRPS1,3.6876E-05,2.0161E-02,0.6700,1.3375E-02,0.4487,4.0198E-02,0.8179,6.9098E-03,0.7435
FAHD2CP,3.7694E-05,2.0309E-02,-0.9397,3.0279E-07,-0.8788,9.9982E-03,-1.3852,5.0928E-02,-0.5552
GNB1,3.8024E-05,2.0368E-02,0.5599,2.2586E-04,0.4635,1.3897E-02,0.8897,4.6981E-02,0.3265
CMAS,3.9120E-05,2.0562E-02,0.8920,2.9267E-03,0.7786,4.4596E-02,0.9789,1.4163E-02,0.9186
PTK2B,3.9985E-05,2.0712E-02,-0.7706,8.3359E-04,-0.7260,3.7484E-02,-1.1289,2.3819E-02,-0.4568
MAGI1,4.0957E-05,2.0879E-02,0.7313,5.0512E-07,0.7384,3.2474E-03,1.1744,5.9389E-02,0.2810
EPHA5,4.1294E-05,2.0936E-02,2.0798,1.1002E-07,1.5641,2.1914E-08,3.7714,6.2808E-02,0.9038
RP11-660L16.2,4.2101E-05,2.1071E-02,-0.9759,1.0334E-02,-0.6093,3.2229E-03,-1.6158,4.9657E-02,-0.7027
RP11-380G5.3,4.3263E-05,2.1264E-02,-0.8685,5.0910E-03,-0.6301,3.0962E-02,-1.3459,2.7738E-02,-0.6297
STX12,4.4434E-05,2.1454E-02,0.4415,8.0921E-05,0.4707,4.1153E-02,0.5494,2.3127E-02,0.3045
STAU2,4.4639E-05,2.1487E-02,0.6523,1.9344E-02,0.3585,3.7363E-03,1.1078,4.1379E-02,0.4907
KIAA1024,4.5932E-05,2.1692E-02,1.4488,3.4950E-04,0.5915,5.6104E-05,2.9340,6.4671E-02,0.8208
RP11-983P16.4,4.7019E-05,2.1862E-02,-0.9453,3.1882E-03,-0.7683,5.3266E-02,-1.3171,9.1313E-03,-0.7506
MAP2K4,4.7549E-05,2.1944E-02,0.8115,1.1023E-02,0.6243,1.0604E-02,1.1638,4.4204E-02,0.6465
LRRC59,4.8814E-05,2.2137E-02,0.5425,2.5451E-05,0.4568,1.8850E-02,0.9377,4.7535E-02,0.2330
USP12,4.9004E-05,2.2165E-02,1.0371,5.1404E-09,1.0494,4.6819E-04,1.7211,6.6027E-02,0.3408
B4GALT5,5.1401E-05,2.2521E-02,0.7168,2.2582E-02,0.4563,1.7849E-02,1.1687,2.7133E-02,0.5253
DKFZP761J1410,5.1869E-05,2.2589E-02,0.8947,1.1486E-06,0.8535,2.4391E-02,1.3445,4.3375E-02,0.4862
PIGCP1,5.3220E-05,2.2784E-02,1.0719,1.0938E-03,0.4354,1.5482E-03,2.3715,6.5709E-02,0.4090
KIAA1377,5.3911E-05,2.2882E-02,0.7125,4.6640E-02,0.3766,4.5959E-03,1.1476,1.7409E-02,0.6135
COL11A1,5.5048E-05,2.3041E-02,0.7778,8.9366E-03,0.5267,5.9953E-02,1.2370,2.3487E-04,0.5697
DCAF7,5.7113E-05,2.3326E-02,0.5245,7.5674E-15,0.5423,6.8003E-02,0.8204,1.9754E-03,0.2107
GGT1,5.7745E-05,2.3412E-02,-1.0765,2.7913E-02,-0.9298,7.6693E-03,-1.6392,3.4654E-02,-0.6604
CTNND2,5.8036E-05,2.3451E-02,0.5145,9.5865E-06,0.4238,3.0203E-02,0.7579,4.0140E-02,0.3618
SHMT1,5.8269E-05,2.3482E-02,-0.8609,6.7526E-04,-0.8069,1.0283E-02,-1.3278,5.9488E-02,-0.4479
COPS4,6.2648E-05,2.4056E-02,0.7039,2.9950E-03,0.5752,2.7326E-02,0.9293,4.1848E-02,0.6071
STAM,6.2959E-05,2.4096E-02,0.6705,1.8663E-03,0.5165,9.4332E-04,1.1465,6.9479E-02,0.3486
CRTAP,6.4455E-05,2.4286E-02,-0.6252,2.3730E-02,-0.4161,4.2227E-02,-1.0462,6.8998E-03,-0.4135
ALDH3B1,6.6867E-05,2.4585E-02,-1.1564,6.6772E-02,-0.7051,5.1566E-03,-1.9812,1.8261E-03,-0.7828
ASPRV1,6.7816E-05,2.4701E-02,-0.9099,1.8748E-04,-0.9503,4.0804E-02,-1.3166,3.3111E-02,-0.4627
DYNC1LI1,6.9545E-05,2.4909E-02,0.6771,6.5469E-04,0.5688,2.0927E-02,1.0273,5.3144E-02,0.4354
MAZ,7.2672E-05,2.5277E-02,0.9449,3.0364E-03,0.5613,5.0269E-04,1.8329,7.2291E-02,0.4404
PRMT5,7.3421E-05,2.5363E-02,0.5338,2.9186E-02,0.2894,2.4361E-02,0.9484,2.2542E-02,0.3635
SMAP1,7.4594E-05,2.5497E-02,0.6282,1.6591E-02,0.2701,3.7235E-02,1.1927,2.2667E-02,0.4217
CERS6,7.5138E-05,2.5559E-02,0.9496,1.7654E-03,0.8566,1.1044E-02,1.2057,6.3868E-02,0.7866
PRKCZ,7.6623E-05,2.5727E-02,0.7878,1.8799E-03,0.5239,2.7208E-02,1.3980,4.8092E-02,0.4413
B4GALT2,8.0198E-05,2.6121E-02,1.0587,2.9804E-15,1.3995,1.3378E-02,1.4462,6.4984E-02,0.3303
CCDC84,8.1933E-05,2.6308E-02,-0.8008,5.9469E-04,-0.8293,3.2642E-02,-1.0511,4.5686E-02,-0.5222
SRD5A1,8.3507E-05,2.6475E-02,1.0341,1.8593E-04,0.8003,4.4133E-03,1.6801,7.4826E-02,0.6219
GDE1,8.5600E-05,2.6694E-02,0.5059,1.1055E-03,0.4906,7.8925E-02,0.5597,5.2407E-05,0.4674
CKMT2,8.8213E-05,2.6963E-02,-0.8099,5.2553E-02,-0.4839,1.5851E-02,-1.3940,1.2486E-02,-0.5517
OSMR,9.0943E-05,2.7239E-02,-1.2875,1.2658E-02,-0.9866,5.2539E-02,-1.8845,1.6519E-02,-0.9915
PPFIA2,9.5870E-05,2.7722E-02,0.9211,1.0694E-02,0.4659,1.4254E-04,1.7753,7.2330E-02,0.5221
RP11-147I3.1,9.7780E-05,2.7905E-02,-1.0567,1.8880E-04,-0.9987,3.0792E-02,-1.6577,5.2733E-02,-0.5138
LRRC32,1.0051E-04,2.8162E-02,-1.1966,3.6682E-02,-0.8178,3.9426E-02,-1.3479,8.3800E-03,-1.4241
CMAHP,1.0165E-04,2.8268E-02,-1.2810,7.2821E-06,-1.0058,8.0289E-02,-1.6049,4.5082E-03,-1.2321
KIF2A,1.0363E-04,2.8450E-02,0.8229,5.9263E-04,0.3718,5.5938E-05,1.8718,8.4702E-02,0.2251
CXXC4,1.0367E-04,2.8455E-02,0.7985,1.3889E-02,0.5176,5.5828E-02,1.1549,1.5647E-02,0.7230
UNC13A,1.0393E-04,2.8478E-02,0.9586,1.4851E-02,0.5217,2.5807E-02,1.2790,4.4777E-02,1.0750
SCN3A,1.0409E-04,2.8492E-02,0.9794,1.0340E-03,0.4996,5.2676E-03,1.8147,7.9176E-02,0.6239
CCSER2,1.0747E-04,2.8797E-02,0.5835,2.3771E-04,0.5016,9.3680E-04,0.9536,8.5218E-02,0.2953
AP000936.1,1.0843E-04,2.8883E-02,-1.0817,1.7217E-03,-1.2875,1.8242E-02,-1.2236,6.6686E-02,-0.7340
TRIB2,1.1155E-04,2.9157E-02,0.8582,4.2606E-10,1.2044,8.2035E-02,0.8806,5.4374E-03,0.4895
BEST1,1.1260E-04,2.9249E-02,-1.2304,1.7400E-04,-1.2382,8.7469E-02,-1.4350,1.0451E-04,-1.0181
CPEB1,1.1314E-04,2.9296E-02,-0.7752,1.1838E-10,-0.7521,5.4770E-02,-1.0959,3.3118E-02,-0.4776
RABGEF1,1.1446E-04,2.9409E-02,-0.8306,1.9236E-04,-0.7489,8.0289E-02,-1.2532,7.7441E-03,-0.4896
DHRS12,1.1533E-04,2.9483E-02,-0.5925,4.5127E-04,-0.4251,3.0197E-02,-0.9958,5.7801E-02,-0.3566
LEMD2,1.1636E-04,2.9571E-02,-0.4874,4.7312E-04,-0.4724,4.9684E-02,-0.6510,3.8556E-02,-0.3389
RASSF5,1.1638E-04,2.9573E-02,1.0606,1.5629E-04,1.1460,1.5079E-02,1.2564,7.3483E-02,0.7794
TPBG,1.1759E-04,2.9675E-02,1.1831,8.5073E-04,1.1608,6.2597E-02,1.1749,2.5576E-02,1.2136
DNER,1.2031E-04,2.9902E-02,0.4866,2.3008E-03,0.3633,5.1456E-02,0.6564,3.5949E-02,0.4401
ACTR10,1.2062E-04,2.9927E-02,0.6955,7.4181E-04,0.6547,4.6277E-02,0.8492,4.2764E-02,0.5827
KIF3C,1.2097E-04,2.9956E-02,0.9776,3.1550E-02,0.4349,3.0996E-03,1.6382,5.5218E-02,0.8597
ZC4H2,1.2117E-04,2.9973E-02,0.5261,1.1638E-04,0.3785,8.7685E-02,0.7850,2.1161E-03,0.4149
SIKE1,1.2252E-04,3.0084E-02,0.6072,2.0563E-03,0.4190,6.2429E-02,1.0464,2.5766E-02,0.3563
ADAMTS19,1.2255E-04,3.0086E-02,0.7448,1.7775E-02,0.2083,6.5799E-02,1.3436,6.6857E-03,0.6826
AGGF1,1.2475E-04,3.0265E-02,0.4425,5.8097E-04,0.4344,8.2035E-02,0.5471,8.1801E-03,0.3459
TP53BP1,1.2634E-04,3.0393E-02,0.6292,1.0364E-02,0.3394,9.4345E-04,1.2920,7.9873E-02,0.2562
NUS1,1.2684E-04,3.0433E-02,0.5930,4.2563E-03,0.4871,1.9283E-03,0.9957,8.5115E-02,0.2963
DHODH,1.3892E-04,3.1370E-02,-0.6355,1.6665E-03,-0.6045,5.0390E-02,-0.8135,4.2054E-02,-0.4886
RIMS1,1.3972E-04,3.1430E-02,1.1315,3.3321E-15,0.9522,7.4652E-08,1.8013,9.4291E-02,0.6411
RP5-921G16.1,1.4048E-04,3.1487E-02,-1.0606,6.9832E-06,-0.9671,9.2712E-02,-1.5188,1.7420E-03,-0.6960
SYT11,1.4124E-04,3.1544E-02,0.4413,2.7910E-02,0.3525,9.3975E-03,0.7818,5.7324E-02,0.1894
NRBF2,1.4195E-04,3.1596E-02,0.6613,2.6460E-04,0.7178,5.9580E-03,1.0522,8.8566E-02,0.2140
MAGEH1,1.4214E-04,3.1611E-02,0.5783,9.0559E-03,0.5117,3.7147E-02,0.7933,4.8630E-02,0.4300
PPM1E,1.4725E-04,3.1985E-02,2.6730,5.4277E-04,0.8500,4.3388E-03,6.3328,9.1074E-02,0.8363
PCDH8,1.4771E-04,3.2018E-02,1.4872,9.2075E-02,0.4443,4.0032E-04,1.7467,3.5796E-03,2.2706
ZNF697,1.4821E-04,3.2054E-02,1.2465,2.2476E-03,0.6329,4.5023E-06,2.5293,9.3911E-02,0.5773
STRAP,1.4829E-04,3.2060E-02,0.5732,2.1354E-04,0.5755,7.4328E-02,0.5929,2.1639E-02,0.5511
PLIN1,1.5040E-04,3.2211E-02,-1.4511,1.9365E-03,-1.1463,8.7832E-03,-2.1999,8.5915E-02,-1.0072
CPNE1,1.5147E-04,3.2288E-02,-0.5388,3.6114E-03,-0.3602,2.8165E-02,-0.8819,6.5087E-02,-0.3744
SLC36A1,1.5465E-04,3.2512E-02,0.7643,2.0442E-02,0.5204,8.5199E-03,1.2710,6.8575E-02,0.5017
HSPBAP1,1.5899E-04,3.2814E-02,-0.6703,1.9568E-06,-0.7883,8.2792E-02,-0.8423,1.5647E-02,-0.3804
KIF19,1.6184E-04,3.3009E-02,-2.5803,4.6918E-05,-2.4333,8.0005E-03,-4.4194,9.0978E-02,-0.8883
CAPS,1.6335E-04,3.3111E-02,-1.0376,4.1724E-02,-0.6376,2.8439E-04,-1.7729,5.7324E-02,-0.7024
SCN3B,1.6419E-04,3.3167E-02,1.2251,2.3065E-03,0.9775,2.5239E-02,1.5586,7.1956E-02,1.1393
NDFIP2,1.6741E-04,3.3383E-02,0.7444,5.5164E-03,0.8582,1.1200E-02,1.0368,8.3432E-02,0.3382
PTPN3,1.6917E-04,3.3500E-02,1.0494,1.2208E-02,0.7031,6.3553E-02,1.4408,2.4738E-02,1.0042
CHST3,1.6975E-04,3.3538E-02,-1.0930,1.4193E-02,-0.9890,3.2049E-02,-1.6870,5.4372E-02,-0.6030
EPHA7,1.7088E-04,3.3612E-02,0.9065,1.9561E-02,0.5140,3.5939E-02,1.3381,4.5335E-02,0.8675
DNAJC27,1.7386E-04,3.3806E-02,0.5987,4.8733E-02,0.3923,2.4090E-03,0.9908,5.0278E-02,0.4130
COLQ,1.7451E-04,3.3848E-02,-0.6869,2.9741E-04,-0.6923,8.9578E-02,-0.7864,1.1669E-02,-0.5819
SIAH3,1.7475E-04,3.3864E-02,1.4511,5.9985E-03,0.5255,9.2743E-02,2.0163,2.8496E-03,1.8114
COL15A1,1.7702E-04,3.4010E-02,1.2254,4.4295E-03,1.1048,1.9253E-02,1.8136,7.8347E-02,0.7577
LINC00963,1.7899E-04,3.4135E-02,-0.7565,9.1855E-05,-0.6386,7.1066E-03,-1.1677,9.5208E-02,-0.4631
MAN1A2,1.8657E-04,3.4611E-02,0.5087,3.7855E-04,0.3670,2.3231E-02,0.9257,8.0223E-02,0.2334
KIF3A,1.8995E-04,3.4818E-02,0.9335,8.4144E-03,0.5721,1.2895E-03,1.7040,9.4751E-02,0.5243
CBLN1,1.8996E-04,3.4819E-02,1.5332,6.6741E-23,1.4792,9.6838E-02,1.3563,7.6189E-03,1.7640
RP1-249H1.4,1.9217E-04,3.4954E-02,1.2048,7.1334E-03,0.8001,8.4286E-02,2.0082,1.3442E-02,0.8061
ITPKB,1.9272E-04,3.4987E-02,-1.5183,2.9322E-05,-1.1946,3.1136E-04,-2.9103,1.0462E-01,-0.4500
TTL,1.9373E-04,3.5048E-02,0.7390,5.5573E-07,0.9131,2.4938E-02,1.0381,8.0205E-02,0.2657
ARHGEF9,1.9734E-04,3.5264E-02,0.7255,4.7747E-03,0.4763,1.7864E-03,1.2121,9.9231E-02,0.4882
COL4A3BP,1.9877E-04,3.5349E-02,0.5614,2.3130E-02,0.3842,2.2572E-02,0.9252,6.0346E-02,0.3748
NIPA2,2.0091E-04,3.5475E-02,0.7903,2.8648E-04,0.5981,2.4894E-03,1.4287,1.0365E-01,0.3440
ASXL3,2.0396E-04,3.5654E-02,0.6587,3.1248E-02,0.3115,1.8723E-02,1.3268,5.6993E-02,0.3378
RAP2A,2.0561E-04,3.5750E-02,0.6095,6.4688E-02,0.3474,1.4016E-02,1.1362,2.8547E-02,0.3450
LAS1L,2.0660E-04,3.5807E-02,-0.6007,8.7627E-04,-0.6481,3.5871E-02,-0.8317,7.0675E-02,-0.3222
ANP32B,2.0750E-04,3.5859E-02,-0.7654,4.4508E-02,-0.5873,1.1564E-02,-1.2325,5.1505E-02,-0.4764
SNCA,2.0872E-04,3.5929E-02,0.9538,6.1011E-02,0.5938,1.8381E-02,1.4440,2.8396E-02,0.8237
WDFY1,2.0908E-04,3.5950E-02,0.4689,2.9567E-04,0.3681,5.0562E-02,0.8034,5.6993E-02,0.2351
SERINC3,2.1300E-04,3.6174E-02,0.5463,5.3192E-04,0.6442,1.2405E-02,0.7576,9.5583E-02,0.2371
CARHSP1,2.1364E-04,3.6210E-02,-0.8494,6.5879E-02,-0.5850,6.3428E-03,-1.5039,3.6407E-02,-0.4594
EAF1,2.1420E-04,3.6241E-02,0.6186,4.6443E-03,0.4154,1.2264E-02,1.1142,9.1816E-02,0.3263
LINC00086,2.1543E-04,3.6310E-02,0.9511,2.0720E-02,0.5924,6.6382E-02,1.0054,2.1829E-02,1.2556
C12orf5,2.1548E-04,3.6313E-02,0.9249,9.0628E-08,0.9704,9.0998E-02,1.3730,1.7942E-02,0.4311
NREP,2.1612E-04,3.6349E-02,1.4391,5.7710E-15,1.4512,3.0110E-10,2.2002,1.0905E-01,0.6659
HSPH1,2.1638E-04,3.6364E-02,0.8901,2.4499E-03,0.7573,3.9269E-02,1.1959,6.7373E-02,0.7170
RAB15,2.1826E-04,3.6469E-02,0.8842,2.1055E-03,0.7224,7.5926E-02,1.1269,3.1374E-02,0.8033
LDOC1L,2.1883E-04,3.6500E-02,0.7528,9.9863E-05,0.5611,3.5278E-04,1.4341,1.0905E-01,0.2633
