,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
HNRNPCP2,0.418392335,0.475103131,0.275498916,0.367880933,0.23051459,0.964353733,0.108914321,0.380385845,0.57929625,0.212157963,0.197891077,0.41371471,0.388348793,0.512125602,0.148028462
RP11-1246C19.1,0.421075775,0.475932396,-0.388760171,0.721931897,-0.198829509,0.903911776,-0.183332629,0.290666059,-0.66017048,0.003991942,-0.6403172,0.390115637,-0.417104746,0.544977068,-0.232806463
MEX3A,0.428459803,0.478208827,0.526358341,0.069096417,0.915667907,0.579077482,0.800404463,0.754806807,0.412565877,0.634251189,0.142175921,0.676649514,0.451379289,0.155371552,0.435956589
AC009404.2,0.428730062,0.478292001,-0.386645425,0.446377731,-0.421976111,0.961477793,-0.139226816,0.441060044,-0.661883195,0.092141119,-0.402017096,0.899189125,-0.18281122,0.029506191,-0.511958111
SLC4A1AP,0.444834721,0.483231968,0.215649078,0.588885441,0.105084411,0.614572024,0.229054115,0.726173585,0.162186114,0.256336642,0.178273948,0.413830665,0.443327099,0.299593452,0.175968783
NT5E,0.445030008,0.483291691,0.340949408,0.291114955,0.239576349,0.721897706,0.342845075,0.727508556,0.452782963,0.052221616,0.524306925,0.839265063,0.196227856,0.267742252,0.289957281
MINPP1,0.446987708,0.483890184,0.277586172,0.521660502,0.142397344,0.927283119,0.118457513,0.336245236,0.427741052,0.108018366,0.303013502,0.498177501,0.488677902,0.511956377,0.185229718
SNED1,0.449467853,0.484647853,-0.527620753,0.863378683,-0.127577365,0.841727659,-0.362543604,0.228354822,-1.320908357,0.018311746,-0.631019924,0.911337651,-0.110161966,0.04477656,-0.613513303
AL161915.1,0.454843626,0.486288182,-0.461024624,0.5658284,-0.305864586,0.503026754,-0.931733417,0.850499127,-0.236086483,0.002728707,-0.522829655,0.283256722,-0.66144651,0.712389383,-0.108187093
RP11-600F24.7,0.45486154,0.486293644,-0.379365498,0.021125955,-0.637205794,0.690698492,-0.523538819,0.751533737,-0.289581197,0.161275171,-0.352098895,0.649405859,-0.32160356,0.643722653,-0.152164721
CHRDL1,0.456873932,0.486907054,0.920830135,0.901110904,0.282845787,0.942912597,0.520212963,0.004316771,3.164865962,0.00014439,0.721976751,0.426401398,0.720679536,0.646556262,0.11439981
BHLHE41,0.461769464,0.488397976,-0.350435953,0.330761742,-0.472465824,0.898359632,-0.290292898,0.911012731,-0.162838716,0.11492912,-0.33357811,0.542893883,-0.549664609,0.13243075,-0.293775563
TPTEP1,0.462756646,0.488698409,-0.817982895,0.894004518,-0.234865467,0.948021817,-0.428488538,0.328745842,-1.239426951,1.09246378598143e-06,-1.782756481,0.586646906,-0.702838411,0.174770279,-0.519521519
B4GALNT1,0.469012995,0.490600949,0.522586712,0.852974101,0.163739619,0.897190072,0.328260074,0.530653322,0.891773694,0.021176221,0.544478095,0.562643492,0.43545411,0.078968485,0.771814679
GATS,0.47457041,0.492289065,-0.260320878,0.645248196,-0.166375643,0.595123477,-0.384547383,0.769956846,-0.139242253,0.004883807,-0.338170181,0.351811039,-0.426631659,0.586711026,-0.106958149
DHX58,0.478975144,0.493626008,-0.418876628,0.666195643,-0.243364072,0.90225303,-0.188379211,0.850668727,-0.171995977,0.018402438,-0.633172161,0.00126194,-1.063114544,0.522974269,-0.213233801
PTPRE,0.486979869,0.496053836,0.445949571,0.776198966,0.360896712,0.702065839,0.771330049,0.880787226,0.200527854,0.012182569,0.257147672,0.110871532,0.978716861,0.494216882,0.107078282
PPP1R3B,0.50274834,0.500832837,-0.409811007,0.790668837,-0.176087344,0.844041044,-0.256456896,0.441141792,-0.81960319,0.203564204,-0.376805689,0.446791326,-0.571275594,0.278789817,-0.258637329
