,Combined p-vlaue,AvgAdjP,AvgLogFC,Total_pF_padj,Total_pF_log2FC,PolyA_pF_padj,PolyA_pF_log2FC,Gage_pF_padj,Gage_pF_log2FC,Total_FC_padj,Total_FC_log2FC,Gage_FC_padj,Gage_FC_log2FC,Total_SN_padj,Total_SN_log2FC
THOC3,0.008656474,0.226171835,0.61888404,0.65393904,0.253428623,0.240589669,0.754575097,0.20651597,0.653836003,0.004897374,0.81881957,0.091057187,0.863417623,0.160031769,0.369227328
RP11-318M2.2,0.009081988,0.227998712,-0.886671142,0.188746503,-0.430831789,0.49020315,-0.857059062,0.527991905,-0.466959297,5.66200187194445e-05,-0.746272031,0.000144964,-2.336762863,0.16084913,-0.482141808
CDC42SE2,0.009688351,0.230484525,0.439893994,0.059709862,0.326784437,0.496703685,0.344638749,0.759627334,0.206258706,0.00499774,0.522460304,0.000731493,0.996455328,0.061137034,0.242766441
LXN,0.009816688,0.230994254,1.366808751,0.148006865,1.176996892,0.800637352,0.760247396,0.000167863,3.800885961,0.203975789,0.262284793,0.058253053,1.762046266,0.174924601,0.4383912
TSPAN13,0.009930967,0.231443582,1.273645568,0.800506768,0.204502544,7.37124645870013e-06,1.966035886,9.62654335271281e-05,3.681248995,0.047018191,0.548926125,0.357057439,0.57325091,0.183975458,0.667908947
CDKN2D,0.010140876,0.232258025,0.577393123,0.052817905,0.520596482,0.07687729,0.819106428,0.701889752,0.193559166,0.001327006,0.632664882,0.530604722,0.435818569,0.030031472,0.862613214
HAS2,0.010371165,0.233135853,1.039715643,0.232087934,0.550466037,1.23194398112982e-05,1.581844878,0.94647626,0.150709003,5.60820898209882e-08,1.211967245,0.103525233,2.276256973,0.116713314,0.467049719
CCT4,0.010521612,0.233700782,0.356744907,0.117317002,0.198597739,0.289718156,0.378884941,0.718123994,0.185966232,0.003538482,0.476579764,0.188273827,0.60178894,0.085233232,0.298651825
C1RL,0.010699395,0.234359925,-0.659051704,0.516596311,-0.279153816,0.022040748,-0.995592811,0.509029759,-0.37433847,4.38780345084987e-06,-0.914189486,0.081018873,-1.005534309,0.277469473,-0.385501334
N4BP2L1,0.011839378,0.238386553,-0.67634053,0.172183234,-0.687845803,0.833669618,-0.568546665,0.0131633,-1.594033573,0.001166343,-0.365087172,0.404633835,-0.366715222,0.005502989,-0.475814747
DPF1,0.011977524,0.238852808,0.646838076,0.240337822,0.421928205,0.248427654,1.033400295,0.181100433,0.945054956,0.209747061,0.288511294,0.324887692,0.777191364,0.22861619,0.414942344
MAD2L1,0.012166009,0.239481967,0.897259911,0.076367517,0.764602237,3.31125946313987e-07,2.036207327,0.205043946,1.448083231,0.254727397,0.311726441,0.456116765,0.55031374,0.444635849,0.272626491
CRYAB,0.012494056,0.240558355,-0.913676495,0.386663607,-0.485374558,0.069718544,-1.070037847,0.380009734,-0.784400313,0.015390373,-0.907789907,0.028164731,-2.053094366,0.56340314,-0.181361977
C10orf11,0.012540958,0.240710371,-0.979687492,0.386663607,-0.71661187,0.935140132,-0.356491323,0.006847203,-2.029506825,0.004403028,-0.853119871,0.077820423,-1.487485708,0.033387836,-0.434909358
LSS,0.012807004,0.241564037,-0.575252134,0.005149154,-0.45992027,0.867081625,-0.101641319,0.510012319,-0.490771166,0.000352438,-0.855812297,0.035770912,-1.119807653,0.031017775,-0.4235601
SERPING1,0.013375841,0.243342127,-0.854617949,0.363761464,-0.481272884,0.064905755,-1.5115938,0.409574476,-0.756508575,0.019626324,-0.577167225,0.000453973,-1.577700885,0.601730768,-0.223464322
PRMT6,0.014449671,0.246538296,0.474227411,0.167569559,0.229391857,0.407537848,0.374822557,0.750016765,0.224010172,6.55052150246655e-07,0.696411115,0.0165896,1.022450256,0.137515347,0.29827851
PRDX3,0.014658666,0.247137907,0.517727266,0.292393713,0.177578295,0.52507488,0.340568239,0.320059656,0.819862822,5.57734629344443e-05,0.478347168,0.334142502,0.854179725,0.011100918,0.435827347
UBE2S,0.014743358,0.247378927,0.647725427,0.419064565,0.479384282,0.021819531,1.508916619,0.034045013,0.753967244,0.212792581,0.368077414,0.722652738,0.25693706,0.073899134,0.51906994
IL8,0.015401426,0.249214612,1.720954248,0.242158236,1.025571902,0.061987114,2.294144751,0.016387268,2.892779442,0.003412428,2.415594317,0.493049812,1.236698756,0.678292812,0.460936317
RAN,0.016652648,0.25253745,0.3930319,0.148959756,0.28990433,0.294766792,0.493777271,0.745518201,0.202378987,0.025818514,0.419456565,0.204417088,0.554414822,0.095744346,0.398259428
TCF7L2,0.01675603,0.252802923,-0.647050618,0.520699879,-0.226694201,0.176221148,-0.495952714,0.018295601,-1.473027589,0.1796087,-0.311068202,0.125338836,-1.054687088,0.496653372,-0.320873913
ATP2B1,0.018192496,0.256362195,0.56052559,0.438954813,0.226636031,0.154429552,0.687425942,0.526270008,0.452523458,0.007076036,0.781165184,0.017848573,1.068972021,0.393594186,0.146430902
CHDH,0.018220423,0.256429128,-1.248122814,0.036763661,-1.60476357,0.002751095,-2.761449173,0.218282463,-1.7056076,0.356625209,-0.294931306,0.337999437,-0.968606252,0.586152904,-0.153378985
ZIC4,0.018354044,0.256748249,-0.836796762,0.09763512,-0.894618687,0.495454679,-0.814096708,0.40524733,-0.722326936,0.08650995,-0.77623089,0.299633258,-0.946306193,0.156009158,-0.867201159
TMEM220,0.018744762,0.257670858,-0.586808241,0.012493733,-0.577253683,0.190678078,-0.694438213,0.690723927,-0.258614316,0.073952523,-0.502847653,0.104898729,-1.29910547,0.473278157,-0.188590109
RGS2,0.019169937,0.258657543,1.176184669,0.060359234,1.087375192,0.826168647,0.565868097,0.000320592,3.52252007,0.000335881,0.84686717,0.616743893,0.398868038,0.048017013,0.635609445
HSD3B7,0.020508913,0.261654934,-0.67793987,0.599167982,-0.194235089,0.426131359,-0.460691659,0.412941863,-0.529404454,0.006836129,-0.788569817,0.006303225,-1.776804026,0.118549048,-0.317934178
BAIAP2L2,0.020545658,0.261734968,-0.819408066,0.232087934,-0.592033899,0.796343703,-0.448632266,0.39229119,-0.946768678,0.000512312,-0.819620242,0.031656419,-1.520251049,0.117518249,-0.589142262
LYPLA1,0.020663721,0.261991348,0.525249503,0.025319577,0.310301701,0.67847199,0.237377962,0.682950256,0.230028027,3.84537873922432e-15,0.867818568,0.04114756,1.267267496,0.144058702,0.238703264
FBXL2,0.021048902,0.262819772,1.10962244,0.503520924,0.605442113,0.634962593,0.949570105,0.000308121,2.900952526,0.090016074,0.478226777,0.015738799,1.428854255,0.332372123,0.294688865
CNOT7,0.021158148,0.263052539,0.333347462,0.139453882,0.231698524,0.444903641,0.33887687,0.297852187,0.407521276,0.016119572,0.432797846,0.204703291,0.452040829,0.475282659,0.137149425
ECM1,0.021188162,0.26311632,-0.605569167,0.407782058,-0.308830002,0.349124801,-0.53422145,0.322857835,-0.821977987,0.000226702,-0.869060611,0.387847557,-0.562690886,0.110858968,-0.536634063
COPS3,0.021762481,0.2643232,0.365812948,0.043570612,0.277468967,0.616428303,0.309579673,0.609401682,0.200124278,0.003837012,0.563513444,0.237590792,0.481292144,0.075110801,0.362899184
RP11-423H2.1,0.022897157,0.266635254,0.694158967,0.269435496,0.608125884,0.002043884,1.505561429,0.190019035,0.685502488,0.195182118,0.467383165,0.142280687,0.778987927,0.800850305,0.119392909
SLC48A1,0.023154053,0.26714608,-0.539959942,0.351087719,-0.318727762,0.020436662,-0.961713154,0.442406002,-0.314161189,0.245067066,-0.244507384,0.017268591,-1.268655754,0.526610439,-0.13199441
TRPV3,0.023556833,0.26793804,-0.653347394,0.078494844,-0.607052431,0.652292852,-0.662878264,0.278483972,-0.793465019,0.002455113,-0.674675411,0.491417413,-0.759478464,0.104484045,-0.422534772
PTGES3,0.02398423,0.268766792,0.276528473,0.022066046,0.246728302,0.48386661,0.341584179,0.765878744,0.115305136,0.008456511,0.313757396,0.235438373,0.40286106,0.09689447,0.238934765
PIK3IP1,0.02459848,0.26993769,-0.544959238,0.103984152,-0.715172011,0.752282616,-0.474130775,0.588683681,-0.417526569,0.00050422,-0.604969195,0.047045305,-0.816034436,0.127126164,-0.24192244
UBASH3B,0.024806875,0.2703297,0.701385442,0.38257464,0.302143292,0.769895913,0.254596885,0.391944927,0.699585536,0.026749114,0.477518663,0.028146855,1.139885947,0.022666748,1.33458233
RP11-134G8.8,0.024815008,0.270344945,-0.607920307,0.090266117,-0.348325616,0.066661057,-0.735325219,0.706788452,-0.323655136,0.056700598,-0.434885169,0.01654559,-1.651632317,0.685107854,-0.153698384
ACAD10,0.025461039,0.271543624,-0.298292702,0.005149154,-0.387263649,0.103110743,-0.468707066,0.852844626,-0.107362241,0.109286646,-0.210287729,0.361222208,-0.43397111,0.197648366,-0.182164418
SLC25A17,0.02627297,0.273016649,0.307233172,0.052817905,0.23558321,0.87695463,0.112963096,0.427176582,0.310804198,0.001858276,0.349178562,0.22049178,0.57463667,0.05880072,0.260233295
SSTR1,0.026947346,0.274213174,1.405003945,0.696076461,0.207599388,0.947065699,0.116457535,0.001778295,2.149255673,2.89112714452731e-09,1.434412514,3.71292971324395e-09,3.232210789,0.000358582,1.290087775
KIAA0556,0.02768508,0.275495511,-0.308761825,0.040041785,-0.217078299,0.369542793,-0.348122214,0.566196335,-0.287298014,0.010428422,-0.344861155,0.460923284,-0.424110767,0.205840447,-0.231100504
TIPRL,0.027748018,0.275603667,0.44838276,0.26264217,0.150328911,0.502538868,0.26446464,0.777563606,0.198357517,0.000632254,0.719567186,0.095068703,0.891067602,0.015176401,0.466510703
RGS4,0.028093923,0.276194677,1.101078574,0.613984388,0.76738135,0.943131291,0.353573946,0.003126107,1.712149314,0.001386054,1.13599369,0.055340027,1.219440873,0.040200195,1.417932271
PLEKHB2,0.030452422,0.280079604,0.411072252,0.2772729,0.117857843,0.563125769,0.202415546,0.768819231,0.173572245,0.011482255,0.490133519,0.009031339,0.983569319,0.050746129,0.498885039
TFB2M,0.03081201,0.280651113,0.44096833,0.352608903,0.19710304,0.513636586,0.320357957,0.568182503,0.317540385,0.00230823,0.446882358,0.07892533,1.104738102,0.168245124,0.259188138
ZCCHC24,0.031509502,0.281745028,-0.535399856,0.00947563,-0.425198408,0.010597385,-0.68487295,0.443438144,-0.854313093,0.348374671,-0.353788533,0.531215829,-0.68170331,0.347368507,-0.212522839
NRXN2,0.032042148,0.282567799,0.672984353,0.076367517,1.056115096,0.538041054,0.830831151,0.910292167,0.276271372,0.001895788,0.585029482,0.091148655,0.864450111,0.077661612,0.42520891
RPS6KA6,0.032281757,0.28293446,0.888591871,0.525427535,0.407052433,0.306577015,1.055653724,0.378582685,0.899258198,0.011542941,0.437747808,0.117338164,2.171847923,0.358138418,0.359991138
CHSY3,0.032725197,0.283607499,0.870143801,0.566898742,0.352465253,0.1481423,1.285651166,0.84143091,0.290258059,0.045210319,0.507202608,0.024630815,1.858705765,0.075331904,0.926579953
POC1A,0.033572526,0.284874126,0.753285329,0.278010753,0.574667899,0.015647678,1.727585569,0.127074593,0.835765818,0.001946198,0.654391527,0.522217182,0.622194201,0.764348352,0.105106959
CYP27A1,0.033633226,0.284963909,-0.771238523,0.171089857,-0.667944368,0.289718156,-0.950025249,0.664182716,-0.355387461,0.012787138,-0.846195052,0.027885874,-1.684271742,0.544119712,-0.123607267
ABCD4,0.033726318,0.28510136,-0.414750655,0.08259863,-0.248011529,0.889383621,-0.115562036,0.466328881,-0.342530145,0.002394673,-0.724028627,0.238018631,-0.621431779,0.031883724,-0.436939812
FBN2,0.034569385,0.286332978,1.403693074,0.148802116,1.924158253,0.332744797,2.039042312,0.508669407,1.134385273,0.262013589,0.258223956,0.027783771,2.615399297,0.437984187,0.450949354
CDK8,0.035093967,0.287087657,0.475495908,0.561057888,0.142560314,0.702377135,0.256257353,0.443783061,0.360075567,1.19718152578059e-05,0.502656179,0.014390212,1.103591461,0.000905675,0.487834576
TCEB1,0.035390026,0.287509739,0.408641371,0.248440922,0.140691055,0.784916117,0.226646506,0.229923387,0.743077791,9.26261177941442e-06,0.670654823,0.307112304,0.380214663,0.154656443,0.290563385
PSPHP1,0.037558886,0.290521569,3.054531358,0.352282206,2.045356257,0.145538711,7.742576506,3.88883237992873e-13,3.685894326,0.354697083,2.002827306,0.313094717,1.569511069,0.577516699,1.281022687
PDK3,0.037851847,0.29091806,0.775709204,0.146380984,0.749278693,0.20900527,1.5184199,0.045673429,1.293449406,0.014762093,0.631420554,0.680436657,0.294456823,0.649249925,0.167229847
SERPINB1,0.037854917,0.290922202,-0.473117019,0.365475586,-0.184523849,0.624042195,-0.211076884,0.443783061,-0.288107997,0.004771746,-0.584716801,0.051553213,-1.321075962,0.255907412,-0.24920062
RAP1GAP2,0.038145881,0.29131364,1.45391227,0.703831297,0.43017444,0.945847249,0.171461046,5.90324220926312e-05,4.610912728,0.000909909,0.565131778,0.000125124,2.145125482,0.097109228,0.800668149
GEMIN8,0.038320798,0.291547856,-0.385406374,0.334447776,-0.288011855,0.408798154,-0.585777119,0.701889752,-0.18334472,0.005161834,-0.425517398,0.250972606,-0.480625023,0.048017013,-0.349162126
CSE1L,0.038497331,0.291783406,0.412099374,0.020155572,0.620626934,0.02858324,0.952453731,0.791002267,0.116452918,0.04389484,0.306453431,0.490270177,0.317191829,0.37679434,0.159417401
CGREF1,0.038712427,0.292069293,0.806909866,0.290816379,0.70545263,0.916648062,0.143282209,0.023265648,1.877928284,0.002592845,0.591411284,0.511051336,0.524883017,0.008041488,0.998501772
FKBP3,0.039908112,0.293636672,0.31735788,0.079623536,0.216156928,0.650200826,0.368634111,0.279561172,0.538945804,0.12662243,0.170815112,0.242310406,0.466536915,0.383501663,0.14305841
PSMD14,0.040706597,0.294663469,0.307887647,0.070939632,0.295130267,0.378413221,0.424013724,0.485662216,0.327689094,0.013503914,0.36009879,0.716759623,0.159617346,0.10270221,0.280776662
AGK,0.041816133,0.296065009,0.327602411,0.004051772,0.28935622,0.756613807,0.160122561,0.759599923,0.119590405,0.066806849,0.311656705,0.045962055,0.811261234,0.14335565,0.273627338
CUL2,0.042334011,0.296709487,0.416758451,0.446623569,0.223948029,0.546618528,0.345226524,0.669077056,0.162691265,0.004393884,0.451595039,0.011927239,0.973188484,0.101616645,0.343901367
ANXA4,0.042517466,0.296936348,-0.411857353,0.133459171,-0.23611561,0.317554904,-0.380667149,0.525988635,-0.204892464,0.000240911,-0.745148674,0.381049464,-0.677311453,0.423325003,-0.227008766
AOX1,0.043029856,0.297566045,-0.818239387,0.289741173,-0.599467117,0.080842063,-0.828387868,0.001172056,-2.247850289,0.120702839,-0.661699371,0.7856503,-0.288904909,0.507287838,-0.283126766
TTC7A,0.044317585,0.299123783,-0.477334868,0.776622657,-0.106111323,0.593053516,-0.300954953,0.116899484,-0.580738184,0.023679602,-0.621132146,0.270417201,-0.587560531,0.014070236,-0.667512072
TAF9,0.045275165,0.300260007,0.358327709,0.075144431,0.200572696,0.429298444,0.508549895,0.63763503,0.235491837,0.000240911,0.565685549,0.343335951,0.422682745,0.315905274,0.216983531
NRIP3,0.045874654,0.300962091,0.723419717,0.423511634,0.371892298,0.650200826,0.427601527,0.409755544,0.575791631,5.46773141385536e-05,0.896702082,0.028824445,1.39034813,0.29342542,0.678182637
BZW2,0.047703941,0.303062387,0.505301474,0.723382829,0.112232053,0.383613763,0.40432859,0.209242717,0.566338486,0.002808804,0.618579777,0.074495639,1.124399417,0.424830568,0.205930519
MRPL3,0.048056282,0.303459913,0.38655171,0.232457934,0.186858711,0.767835467,0.179897336,0.667071022,0.185562519,0.000253589,0.634098712,0.010543912,0.870623091,0.142597552,0.262269892
PSPH,0.048105629,0.303515412,0.429430802,0.315275243,0.222030297,0.730654109,0.239116555,0.065137563,0.960689822,0.012109856,0.395649012,0.195231207,0.622169459,0.502684497,0.13692967
PTGER3,0.048544708,0.304007354,1.605450235,0.771737548,0.308029847,0.142985177,1.427836792,0.511072336,0.940835741,2.11544022420333e-05,2.327418801,2.20216664517466e-05,3.944918,0.398205889,0.683662229
ZC3H15,0.048660627,0.30413667,0.442767917,0.388119381,0.215723512,0.747195633,0.272514049,0.62824593,0.218217224,0.000723225,0.551576139,0.002383172,1.063949425,0.058152677,0.334627154
FJX1,0.048938354,0.30444555,0.659995532,0.299666979,0.405945116,0.813332156,0.265268748,0.289632408,1.357865953,0.008521295,0.530502629,0.40747814,0.428339566,0.00804232,0.972051182
LPPR4,0.049054162,0.304573958,1.690602504,0.775143092,0.340710334,0.929990304,0.30062232,0.000489678,3.726636503,4.64682498521175e-08,1.598047951,9.29697818145917e-08,3.465978465,0.121820531,0.711619451
RASSF2,0.051425927,0.307154975,-0.869923175,0.353202727,-0.698273137,4.53545326115062e-14,-2.333688927,0.499331039,-0.882125427,0.075118473,-0.578622252,0.694322585,-0.359173029,0.220955022,-0.36765628
ELOVL6,0.051513908,0.307248983,0.449845688,0.093574925,0.564130572,0.015507547,1.025126015,0.796728654,0.157736821,0.145876828,0.283800715,0.26996368,0.508176554,0.521842263,0.160103454
FAR2,0.052143764,0.307918496,0.79876743,0.433651303,0.499319241,0.47472779,0.839073904,0.102161319,1.56562238,0.128656562,0.286694103,0.000638493,1.49791585,0.707675512,0.103979099
MYO1E,0.052636572,0.308438119,-0.679102274,0.761342143,-0.125127177,0.030736521,-0.731154436,0.044342962,-1.489033343,0.001352207,-1.039740174,0.813622482,-0.27360869,0.1992324,-0.415949821
HPRT1,0.053903406,0.309757378,0.442075638,0.410978452,0.196248151,0.20592341,0.640343873,0.576291627,0.326804498,0.133663064,0.333332143,0.256309897,0.718447855,0.275377819,0.437277306
ZNF395,0.054359189,0.310226354,-0.473221386,0.675248282,-0.201637769,0.087506656,-0.627124956,0.902747592,-0.140829132,0.001747746,-0.569540366,0.032619368,-0.939053289,0.161488479,-0.361142806
PHKG1,0.054922578,0.310802012,-1.055291342,0.467809646,-0.285478224,0.900230606,-0.372821738,0.003841089,-2.882467241,0.046567083,-0.76162368,0.081313363,-1.800377742,0.365050284,-0.228979425
MRPL42,0.058211629,0.314077681,0.346720502,0.198985557,0.283880502,0.738070768,0.24897998,0.423495745,0.414592409,0.001136862,0.376982564,0.070502835,0.626207802,0.452274318,0.129679755
ADAMTS6,0.062474499,0.318124972,0.527357324,0.033716544,0.348683128,0.241982714,0.660027353,0.598628967,0.478058067,0.001759807,0.536139218,0.406614817,1.012729374,0.626046981,0.128506805
NDUFAF5,0.062568636,0.318212015,0.32804484,0.226654266,0.211141626,0.540052136,0.328022506,0.474477318,0.41424333,0.019919203,0.333260732,0.529620121,0.393514648,0.118549048,0.288086198
PDE4D,0.064876817,0.320316753,0.483696222,0.001094411,1.186228432,0.509712978,0.480352848,0.830171342,0.237496183,0.167355529,0.214830435,0.234255303,0.480042813,0.179310955,0.303226619
MMD,0.068262274,0.323306663,1.066660089,0.680407146,0.179452936,0.722173343,0.355849898,0.537045482,0.479080304,2.44588093044887e-13,1.839535471,2.19964961355747e-09,2.672762884,0.000214005,0.87327904
VBP1,0.069060595,0.323995863,0.411752668,0.499943927,0.229531751,0.736923504,0.364343813,0.415505151,0.615092899,0.003227446,0.482366306,0.12338918,0.499501864,0.164985973,0.279679373
KLF15,0.069281645,0.324185671,-1.21157608,0.831422513,-0.259900984,0.356640821,-1.343748714,0.00116536,-2.627015488,0.301727064,-0.428597587,0.006873046,-2.260613954,0.447285223,-0.349579752
ARSK,0.06958081,0.324441852,0.482090536,0.24754187,0.467596997,0.33531878,0.516019466,0.560874327,0.380556142,0.532380847,0.107253839,0.253105506,0.907490935,0.017429784,0.513625834
HSF4,0.070344505,0.325092206,-0.843048062,0.565677927,-0.34352987,0.522272341,-0.594195577,0.816140678,-0.302757749,6.95377548338574e-06,-1.307719048,7.00869282739148e-05,-1.859927111,0.046385248,-0.65015902
PTS,0.07238911,0.326808471,0.373746362,0.199495396,0.182678557,0.777028502,0.147799262,0.191332584,0.94457418,0.051257009,0.342186211,0.249292535,0.465339151,0.492444798,0.159900809
C3orf14,0.072489785,0.326892065,0.422376629,0.187489236,0.309445494,0.684038468,0.387871993,0.637728987,0.454719493,0.065138269,0.381761833,0.218712308,0.613223111,0.168245124,0.387237853
PSMC6,0.072726824,0.327088557,0.304305709,0.324743862,0.181290426,0.675436335,0.335394266,0.634665769,0.196289378,0.020845633,0.356023178,0.076702506,0.587384184,0.230137238,0.169452823
LRRN3,0.074005336,0.328140452,0.897024414,0.446396305,1.440124397,0.820414268,0.925956685,0.501347721,0.955193909,0.004587904,0.552862542,0.154484037,0.856453595,0.041612477,0.651555354
PRX,0.075871227,0.329652298,-0.670027511,0.052654838,-0.37001685,0.372948897,-0.373165253,0.450031299,-0.544457172,0.343270247,-0.496139846,0.005339092,-2.021877517,0.753669416,-0.214508424
EDNRA,0.075977953,0.32973796,0.76048664,0.43883127,0.749347464,0.812716687,0.566370461,0.215236017,1.163686579,0.002317306,0.675821245,0.114116303,1.178988311,0.395210176,0.228705782
HMGA1,0.077008192,0.330560432,0.475171487,0.133006296,0.584351079,0.666056897,0.497634829,0.004158044,0.853791513,0.298287473,0.208770687,0.760645457,0.279684581,0.121208424,0.426796233
CDH6,0.077812287,0.331196885,1.147319546,0.01876031,2.613337476,0.853297365,0.637326741,0.499492144,1.448880534,2.8415842524649e-06,0.881674823,0.037035921,1.092302458,0.578592727,0.210395242
SFXN1,0.078000505,0.331345179,0.37595679,0.47657744,0.137725528,0.793431181,0.155904876,0.653235483,0.13923788,1.54838256322369e-07,0.659602581,0.023214338,0.780579396,0.041612477,0.382690478
BLM,0.078854363,0.332014714,0.805574365,0.01028147,1.04483508,2.37419054348738e-07,2.647033837,0.927562217,0.135188118,0.000837996,0.63952498,0.850590046,0.12381338,0.202816317,0.243050795
CCNB1,0.079600868,0.332595824,0.774627394,0.401750828,0.582656319,7.34969595093317e-05,2.309190437,0.765356128,0.301892823,0.003327467,0.557968937,0.689307316,0.366522749,0.13575971,0.529533099
VPS29,0.082037441,0.334465832,0.400024242,0.516823617,0.118402922,0.629408265,0.360428552,0.35944504,0.729914506,0.00026408,0.492374053,0.152704718,0.552158731,0.348149274,0.146866685
FARSB,0.082857512,0.335086291,0.318462501,0.014983336,0.33374752,0.410226332,0.385052673,0.35944504,0.455121892,0.086741607,0.313575638,0.905465078,0.106005495,0.233656355,0.31727179
GSKIP,0.083066983,0.335244073,0.444225718,0.497194214,0.234430304,0.751545061,0.299269863,0.118262755,0.725292265,0.005992586,0.618322787,0.15204839,0.644751208,0.486421435,0.143287878
PDS5B,0.083554015,0.335609834,0.387498697,0.4116425,0.247697639,0.27885945,0.469669427,0.684396385,0.174228132,0.206990651,0.233574465,0.003271663,1.083498645,0.428498355,0.116323875
CACNA1A,0.083760808,0.335764676,0.585898174,0.028266205,0.860842686,0.099261466,1.231127857,0.536894281,0.750222009,0.199050798,0.187317705,0.754254833,0.18100967,0.396860474,0.304869119
VDAC3,0.084706448,0.336469311,0.388016124,0.177353798,0.249890244,0.441485126,0.39888177,0.479450637,0.479000726,0.037213848,0.379344057,0.855574933,0.129937667,0.027737522,0.691042282
KIAA1683,0.086434001,0.337742292,-0.881485831,0.314774977,-0.541685933,0.685759594,-0.486159646,0.816404636,-0.295883461,1.67954174945241e-05,-1.477828165,0.209462955,-0.972367158,3.47927635915938e-05,-1.514990624
RP4-773N10.4,0.086945466,0.338115713,-0.421158115,0.51878596,-0.152813358,0.914070537,-0.107068501,0.253035702,-0.655847222,4.49327438621117e-06,-0.706035382,0.282446725,-0.678294162,0.060350858,-0.226890065
KCNS3,0.08957344,0.340010302,0.787561751,0.666195643,0.347952952,0.317183665,1.181804216,0.908053391,0.156677481,0.003372937,0.764860026,0.0002748,1.621639426,0.144981373,0.652436406
EML3,0.090676943,0.340794176,-0.560133525,0.564680873,-0.144315667,0.752282616,-0.232351138,0.461949832,-0.333545291,0.084115561,-0.672788392,0.005193548,-1.52214649,0.176542629,-0.455654175
CEBPD,0.092114157,0.341805111,-0.990558438,0.606748329,-0.2444476,0.000300887,-1.324658257,0.477147958,-0.820500994,0.602335238,-0.233978469,2.05007045335864e-07,-2.683282489,0.364298051,-0.63648282
KNSTRN,0.097199785,0.345296065,0.574853619,0.025340419,0.59907693,4.63655818348505e-06,1.79150526,0.629988045,0.344024457,0.430231488,0.148741681,0.382050703,0.453740508,0.6041611,0.112032877
RAP1GDS1,0.097463432,0.345473534,0.470227583,0.547743868,0.115015907,0.680480176,0.207929173,0.741516542,0.170009372,0.000101473,0.834072395,0.025604639,1.045614617,0.077394506,0.448724034
PLK1S1,0.097713537,0.345641579,-0.38983771,0.399868261,-0.359573006,0.766089512,-0.337510458,0.262199305,-0.59882804,0.001350984,-0.408066868,0.374151068,-0.449932491,0.270190345,-0.185115397
DENND2D,0.09774793,0.345664664,-0.648310479,0.787321568,-0.178211914,0.68616906,-0.400619948,0.269884229,-0.692437101,0.014709643,-0.880111746,0.281549116,-0.929381663,0.034354369,-0.809100501
DNAJB4,0.099526263,0.346850709,0.572777641,0.833640305,0.149355147,0.932796355,0.114717204,0.07669614,1.223793994,1.1991355254302e-06,0.563136307,0.145987147,1.043620518,0.09198311,0.342042677
DCUN1D5,0.099928974,0.347117251,0.429337957,0.478905229,0.129756071,0.730921338,0.190258785,0.637803597,0.274431736,5.81303360200183e-08,0.761856026,0.014143154,1.0145223,0.22093013,0.205202826
GUSB,0.10008252,0.347218682,-0.381168709,0.316481166,-0.152393282,0.783567314,-0.220225631,0.755010781,-0.154153912,0.037546269,-0.433358153,0.014723784,-1.026797257,0.175982779,-0.30008402
PTGS2,0.100512989,0.347502474,1.245277049,0.807632208,0.525119929,0.899191149,0.664472029,0.025671492,2.362900815,1.70360911784643e-07,1.666826444,0.073011761,1.170681202,0.279508061,1.081661873
RSL24D1,0.100835455,0.347714514,0.350653675,0.087200916,0.234728411,0.892275268,0.138523742,0.857342944,0.147527453,0.000348534,0.617289344,0.078880734,0.711162929,0.170238686,0.254690174
RASD1,0.101587801,0.348207407,-0.853034364,0.694838352,-0.319804961,0.967246453,-0.127255349,0.140537456,-1.605760887,0.059773313,-0.618817577,0.008877662,-1.848084371,0.217971208,-0.598483038
STK39,0.10316045,0.34922964,0.275880335,0.17086411,0.246718401,0.117653473,0.501200981,0.792542849,0.143898547,0.006145694,0.303667978,0.50792958,0.322665356,0.500242134,0.137130748
TOB1,0.103855658,0.34967811,-0.381679149,0.646345196,-0.155262916,0.034594535,-0.743913204,0.702016385,-0.1876571,0.014745305,-0.402840219,0.555788621,-0.575566876,0.144578619,-0.224834581
ZFP36L1,0.103960671,0.349745673,-0.490829368,0.024561253,-0.47581847,0.352613205,-0.457693057,0.206504658,-1.095570088,0.165427101,-0.391189197,0.592489449,-0.411257994,0.756878372,-0.113447403
RANBP6,0.105283161,0.350592548,0.3977475,0.596425538,0.225112375,0.832467344,0.166740715,0.567027255,0.249543806,0.003664516,0.550988857,0.022043733,0.779108993,0.081926901,0.414990255
ASIC1,0.107762606,0.352160848,0.428391523,0.054749689,0.579764279,0.912801532,0.176079461,0.356531367,0.869639375,0.199880425,0.211491805,0.541567201,0.287907004,0.047434872,0.445467214
SLC46A3,0.109905593,0.353496592,-0.389210342,0.892616711,-0.129471734,0.161417299,-0.999013057,0.260002971,-0.40938566,0.192879095,-0.215086032,0.57512449,-0.315132775,0.038938985,-0.267172794
SGK3,0.111042511,0.354198055,-0.499023941,0.505360654,-0.335243373,0.926548681,-0.157868444,0.205191125,-0.625628972,0.058958451,-0.486348,0.258318385,-0.996720909,0.170811036,-0.392333948
LPHN2,0.111500902,0.354479496,0.765267668,0.301902345,1.009484721,0.141994003,1.485579634,0.879537692,0.176268174,0.050795396,0.442681079,0.010265846,1.352519398,0.742381694,0.125073
