No.,pert_id,sample_id,L1(AgingScore),L2(AgingScore),L6(AgingScore),L7(AgingScore),L1(matchGenes),L2(matchGenes),L6(matchGenes),L7(matchGenes)
1,LUNG001_1HAE_24H:BRD-K02130563:10,L02,0.138914981,0.973610014,-0.44252166,-0.469715802,48,60,47,38
1,LUNG001_1HAE_24H:BRD-K02130563:10,C24,-0.130387209,0.815501267,-0.254107413,-0.692118812,49,65,48,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,G02,-0.506430346,0.674939485,-0.33297482,-0.444234183,43,57,45,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,D24,0.066411362,0.37153758,-0.357159399,-0.395701843,52,63,48,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,N02,-0.366880897,0.919430478,-0.375482243,-0.46799913,49,57,50,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,D02,-0.191517278,0.679762948,-0.470919588,-0.720111103,49,61,48,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,C02,-0.234378457,0.840014898,-0.306914783,-0.398648602,47,60,51,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,O02,0.022033128,0.585773749,-0.224978144,-0.435491998,51,54,52,43
1,LUNG001_1HAE_24H:BRD-K02130563:10,H02,-0.673132108,0.63477448,-0.527010176,-0.645891356,40,61,44,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,M24,0.122557442,0.968547504,-0.150423211,-0.552745553,52,63,51,44
1,LUNG001_1HAE_24H:BRD-K02130563:10,I02,-0.177548587,0.793477431,-0.450489588,-0.796852435,45,57,49,40
1,LUNG001_1HAE_24H:BRD-K02130563:10,J02,-0.195017815,1.182778055,-0.37626317,-0.636311152,47,63,45,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,H24,-0.286251999,0.633468361,-0.310811023,-0.708229257,47,59,43,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,I24,-0.312105135,0.583637262,-0.576180941,-0.756246634,49,59,43,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,K24,-0.011151736,0.900770493,-0.382064742,-0.542948221,50,60,46,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,J24,-0.166769394,0.840183554,-0.339728731,-0.429626332,46,63,46,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,G24,0.063401481,0.8645217,-0.284881087,-0.431474996,52,66,45,43
1,LUNG001_1HAE_24H:BRD-K02130563:10,L24,-0.133193746,0.66682035,-0.339955465,-0.568429359,49,61,46,39
1,LUNG001_1HAE_24H:BRD-K02130563:10,N24,0.009596594,0.814755251,-0.336403817,-0.364056643,53,61,49,48
1,LUNG001_1HAE_24H:BRD-K02130563:10,E02,-0.650091776,0.381041696,-0.398314668,-0.473649555,44,53,42,38
1,LUNG001_1HAE_24H:BRD-K02130563:10,B24,-0.096518635,0.841405937,-0.414108641,-0.528058022,50,62,45,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,P02,-0.157696524,0.576181764,-0.151366817,-0.347448144,46,58,49,41
1,LUNG001_1HAE_24H:BRD-K02130563:10,K02,-0.462627493,0.691042945,-0.400987715,-0.789572627,46,57,47,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,O24,-0.34717793,0.6353937,-0.539667131,-0.510772666,47,58,43,40
1,LUNG001_1HAE_24H:BRD-K02130563:10,M02,0.039726221,0.8254461,-0.101835882,-0.674950347,46,61,50,45
1,LUNG001_1HAE_24H:BRD-K02130563:10,A24,-0.325316441,0.142443185,-0.313880533,-0.350200107,42,59,39,43
1,LUNG001_1HAE_24H:BRD-K02130563:10,F02,-0.365461019,0.92028877,-0.347078298,-0.490279714,46,58,43,42
1,LUNG001_1HAE_24H:BRD-K02130563:10,F24,-0.108734935,0.647285421,-0.338394337,-0.651330638,50,60,42,46
1,LUNG001_1HAE_24H:BRD-K02130563:10,E24,-0.001941092,0.464360934,-0.581408784,-0.783177531,47,61,46,46
2,LUNG001_1HAE_24H:BRD-K36529613:10,L02,0.099816968,-0.004114709,-0.284234906,0.142638578,54,54,42,58
2,LUNG001_1HAE_24H:BRD-K36529613:10,C24,-0.05125149,0.077633814,-0.246599129,0.040688978,44,55,45,47
2,LUNG001_1HAE_24H:BRD-K36529613:10,G02,-0.363271607,0.04307562,-0.20463703,0.223545306,40,49,44,59
2,LUNG001_1HAE_24H:BRD-K36529613:10,D24,0.170319656,-0.175750319,-0.278080534,0.208926957,54,45,47,55
2,LUNG001_1HAE_24H:BRD-K36529613:10,N02,-0.057005018,0.072392364,-0.19229612,0.176432009,47,49,48,49
2,LUNG001_1HAE_24H:BRD-K36529613:10,D02,-0.010519971,-0.08405728,-0.2610971,0.076494809,50,45,44,52
2,LUNG001_1HAE_24H:BRD-K36529613:10,C02,-0.069516278,0.009791645,-0.06906684,0.059837538,49,49,51,54
2,LUNG001_1HAE_24H:BRD-K36529613:10,O02,0.101008665,-0.203586344,-0.095967329,0.17214714,50,42,50,50
2,LUNG001_1HAE_24H:BRD-K36529613:10,H02,-0.422177959,-0.182087135,-0.3443548,0.113375379,45,43,40,51
2,LUNG001_1HAE_24H:BRD-K36529613:10,M24,0.268349004,0.175811458,-0.016375358,0.082957368,61,51,52,54
2,LUNG001_1HAE_24H:BRD-K36529613:10,I02,-0.175918548,0.026257125,-0.362616688,0.015583206,42,51,41,51
2,LUNG001_1HAE_24H:BRD-K36529613:10,J02,-0.056911591,0.173280388,-0.259003633,0.125249492,51,54,46,51
2,LUNG001_1HAE_24H:BRD-K36529613:10,H24,0.036831443,-0.088564181,-0.220062492,-0.233377309,44,46,44,51
2,LUNG001_1HAE_24H:BRD-K36529613:10,I24,-0.232165229,-0.002001981,-0.379216414,-0.131358289,48,46,42,49
2,LUNG001_1HAE_24H:BRD-K36529613:10,K24,0.012163951,-0.059527244,-0.238669249,0.111988819,48,52,49,54
2,LUNG001_1HAE_24H:BRD-K36529613:10,J24,0.006595502,0.058721142,-0.273978707,0.140783432,50,53,46,52
2,LUNG001_1HAE_24H:BRD-K36529613:10,G24,0.239470561,0.041925452,-0.028982628,0.296212423,54,48,48,59
2,LUNG001_1HAE_24H:BRD-K36529613:10,L24,0.093249921,-0.045838536,-0.192871461,0.017790831,54,45,43,53
2,LUNG001_1HAE_24H:BRD-K36529613:10,N24,0.227654327,0.178361031,-0.198238579,0.453613128,53,55,46,53
2,LUNG001_1HAE_24H:BRD-K36529613:10,E02,-0.457422993,-0.198257678,-0.244200437,-0.078872493,36,48,46,48
2,LUNG001_1HAE_24H:BRD-K36529613:10,B24,0.002371223,0.19008444,-0.118680954,0.083617513,52,58,47,53
2,LUNG001_1HAE_24H:BRD-K36529613:10,P02,-0.018158192,-0.044014426,-0.026157573,0.272860677,51,46,46,54
2,LUNG001_1HAE_24H:BRD-K36529613:10,K02,-0.212710734,-0.189057128,-0.273969108,-0.072803355,44,56,44,47
2,LUNG001_1HAE_24H:BRD-K36529613:10,O24,-0.258857389,-0.112303526,-0.588996947,0.017496577,48,48,38,52
2,LUNG001_1HAE_24H:BRD-K36529613:10,M02,0.068780392,0.001114209,-0.131177479,-0.010007788,48,51,47,47
2,LUNG001_1HAE_24H:BRD-K36529613:10,A24,-0.208926098,-0.598813398,-0.324034971,0.174435466,44,36,41,59
2,LUNG001_1HAE_24H:BRD-K36529613:10,F02,-0.31580937,0.155787567,-0.057675348,0.04933771,46,50,47,60
2,LUNG001_1HAE_24H:BRD-K36529613:10,F24,-0.109671566,-0.0284938,-0.263961213,0.036966344,47,47,46,49
2,LUNG001_1HAE_24H:BRD-K36529613:10,E24,-0.13073067,-0.229409344,-0.350014568,0.07032047,48,41,43,52
3,LUNG001_1HAE_24H:BRD-K80970344:10,L02,0.078125584,0.494831575,-0.316563682,-0.21318616,49,68,39,45
3,LUNG001_1HAE_24H:BRD-K80970344:10,C24,-0.12765175,0.458901158,-0.253725927,-0.281871174,42,72,38,46
3,LUNG001_1HAE_24H:BRD-K80970344:10,G02,-0.413343634,0.272566274,-0.294629615,-0.100764593,39,57,39,49
3,LUNG001_1HAE_24H:BRD-K80970344:10,D24,0.18218138,0.240579734,-0.321145518,-0.120951437,50,57,34,47
3,LUNG001_1HAE_24H:BRD-K80970344:10,N02,-0.132378832,0.618360194,-0.193693829,-0.203821473,45,60,40,40
3,LUNG001_1HAE_24H:BRD-K80970344:10,D02,-0.0934506,0.275615222,-0.417975493,-0.255377655,41,58,34,38
3,LUNG001_1HAE_24H:BRD-K80970344:10,C02,-0.166858509,0.521345556,-0.229888337,-0.253055057,47,60,40,39
3,LUNG001_1HAE_24H:BRD-K80970344:10,O02,0.047353529,0.192977034,-0.146456274,-0.187653068,53,56,45,43
3,LUNG001_1HAE_24H:BRD-K80970344:10,H02,-0.429857981,0.1947577,-0.348595192,-0.245889058,32,56,36,40
3,LUNG001_1HAE_24H:BRD-K80970344:10,M24,0.312954349,0.574574698,-0.121184553,-0.136330267,59,65,46,47
3,LUNG001_1HAE_24H:BRD-K80970344:10,I02,-0.235603948,0.396533401,-0.33123774,-0.367215817,37,61,32,36
3,LUNG001_1HAE_24H:BRD-K80970344:10,J02,-0.135850637,0.522594614,-0.312130964,-0.295988027,46,68,33,40
3,LUNG001_1HAE_24H:BRD-K80970344:10,H24,-0.10200114,0.350269483,-0.290073605,-0.440147406,45,51,33,36
3,LUNG001_1HAE_24H:BRD-K80970344:10,I24,-0.100938853,0.340081596,-0.397755853,-0.394991108,45,69,34,35
3,LUNG001_1HAE_24H:BRD-K80970344:10,K24,-0.082457494,0.417304592,-0.339861873,-0.25239183,50,64,37,39
3,LUNG001_1HAE_24H:BRD-K80970344:10,J24,-0.068911023,0.485645459,-0.319636074,-0.180098868,49,64,36,42
3,LUNG001_1HAE_24H:BRD-K80970344:10,G24,0.321910875,0.500059569,-0.111551834,-0.151129658,52,64,40,48
3,LUNG001_1HAE_24H:BRD-K80970344:10,L24,0.178114883,0.348250966,-0.313956351,-0.20678565,53,56,34,46
3,LUNG001_1HAE_24H:BRD-K80970344:10,N24,0.137520468,0.629473808,-0.285447042,0.066368108,55,63,39,50
3,LUNG001_1HAE_24H:BRD-K80970344:10,E02,-0.651137842,0.134642694,-0.350195363,-0.381868375,39,56,34,43
3,LUNG001_1HAE_24H:BRD-K80970344:10,B24,-0.127393633,0.598017782,-0.323365519,-0.31059322,49,63,35,46
3,LUNG001_1HAE_24H:BRD-K80970344:10,P02,-0.165601238,0.232908966,-0.144936349,-0.172808189,47,59,45,52
3,LUNG001_1HAE_24H:BRD-K80970344:10,K02,-0.423719889,0.264820908,-0.357240316,-0.455232657,42,60,35,35
3,LUNG001_1HAE_24H:BRD-K80970344:10,O24,-0.296985856,0.1847653,-0.521071975,-0.270666025,46,56,33,41
3,LUNG001_1HAE_24H:BRD-K80970344:10,M02,-0.047961623,0.420835833,-0.197121687,-0.239268232,47,68,41,33
3,LUNG001_1HAE_24H:BRD-K80970344:10,A24,-0.178479093,-0.105613836,-0.373461398,-0.121962591,41,51,33,49
3,LUNG001_1HAE_24H:BRD-K80970344:10,F02,-0.335606994,0.306222212,-0.275119819,-0.267596186,46,64,38,39
3,LUNG001_1HAE_24H:BRD-K80970344:10,F24,-0.040205776,0.292031118,-0.28506108,-0.224324881,42,60,30,45
3,LUNG001_1HAE_24H:BRD-K80970344:10,E24,-0.044083348,0.260983844,-0.413869945,-0.248737053,47,49,36,42
4,LUNG001_1HAE_24H:BRD-K75430629:10,L02,0.053519312,-0.013605595,-0.033189834,-0.272985633,49,54,43,48
4,LUNG001_1HAE_24H:BRD-K75430629:10,C24,-0.227502694,0.004670814,-0.102734216,-0.228234837,43,51,45,42
4,LUNG001_1HAE_24H:BRD-K75430629:10,G02,-0.345621588,-0.198158583,-0.03607547,-0.104729466,43,47,46,50
4,LUNG001_1HAE_24H:BRD-K75430629:10,D24,0.144943664,-0.378312086,-0.180990585,-0.148746557,54,32,46,43
4,LUNG001_1HAE_24H:BRD-K75430629:10,N02,-0.13814136,-0.051466753,-0.043849952,-0.170410167,43,51,41,50
4,LUNG001_1HAE_24H:BRD-K75430629:10,D02,-0.144520526,-0.117993718,-0.196758883,-0.180634043,38,47,46,42
4,LUNG001_1HAE_24H:BRD-K75430629:10,C02,-0.060614734,0.004134418,-0.04987087,-0.097426557,47,45,47,40
4,LUNG001_1HAE_24H:BRD-K75430629:10,O02,-0.081994339,-0.373216455,0.110517987,-0.16314525,51,36,51,44
4,LUNG001_1HAE_24H:BRD-K75430629:10,H02,-0.437868012,-0.415941685,-0.193701041,-0.259923474,34,41,45,39
4,LUNG001_1HAE_24H:BRD-K75430629:10,M24,0.271204823,-0.02978471,-0.028742355,-0.08888155,59,52,47,51
4,LUNG001_1HAE_24H:BRD-K75430629:10,I02,-0.403778997,-0.135793286,-0.200269276,-0.31819106,36,50,46,44
4,LUNG001_1HAE_24H:BRD-K75430629:10,J02,-0.111723342,-0.02213168,-0.143480364,-0.263896053,51,46,41,37
4,LUNG001_1HAE_24H:BRD-K75430629:10,H24,-0.107875012,-0.27584296,-0.0879524,-0.45084866,44,44,44,40
4,LUNG001_1HAE_24H:BRD-K75430629:10,I24,-0.214821254,-0.138565093,-0.257240851,-0.353186756,42,43,37,39
4,LUNG001_1HAE_24H:BRD-K75430629:10,K24,0.025003303,-0.175383077,-0.169180849,-0.088410308,54,47,46,46
4,LUNG001_1HAE_24H:BRD-K75430629:10,J24,0.085421547,-0.015206313,-0.112197384,-0.128655793,49,35,43,46
4,LUNG001_1HAE_24H:BRD-K75430629:10,G24,0.195183262,-0.184181774,0.008687706,-0.066660645,56,45,48,49
4,LUNG001_1HAE_24H:BRD-K75430629:10,L24,0.020874747,-0.217338926,-0.101751196,-0.071362759,48,43,42,39
4,LUNG001_1HAE_24H:BRD-K75430629:10,N24,0.164121976,-0.03442011,-0.025626815,0.207449768,58,48,47,50
4,LUNG001_1HAE_24H:BRD-K75430629:10,E02,-0.551006853,-0.313479175,-0.125720502,-0.220786696,31,31,43,40
4,LUNG001_1HAE_24H:BRD-K75430629:10,B24,-0.087268812,0.013990402,-0.127457794,-0.034688396,46,52,44,42
4,LUNG001_1HAE_24H:BRD-K75430629:10,P02,-0.008803418,-0.207819145,-0.012763281,0.004943005,49,42,53,49
4,LUNG001_1HAE_24H:BRD-K75430629:10,K02,-0.431547476,-0.379762474,-0.084732883,-0.339028572,38,46,40,36
4,LUNG001_1HAE_24H:BRD-K75430629:10,O24,-0.425219208,-0.347800771,-0.413676647,-0.162209292,37,43,37,38
4,LUNG001_1HAE_24H:BRD-K75430629:10,M02,-0.02469132,-0.019526056,-0.075587097,-0.211153047,47,51,46,44
4,LUNG001_1HAE_24H:BRD-K75430629:10,A24,-0.440491383,-0.524493801,-0.244706056,-0.020836192,36,35,44,41
4,LUNG001_1HAE_24H:BRD-K75430629:10,F02,-0.425566516,-0.168062404,-0.023950042,-0.208170929,36,48,45,42
4,LUNG001_1HAE_24H:BRD-K75430629:10,F24,-0.066571966,-0.188540021,-0.149011081,-0.196197043,43,42,40,43
4,LUNG001_1HAE_24H:BRD-K75430629:10,E24,-0.155080798,-0.36688192,-0.299781061,-0.173783048,43,34,35,45
5,LUNG001_1HAE_24H:BRD-K52911425:10,L02,0.538076549,0.355754793,-0.029558827,0.208449273,59,57,44,50
5,LUNG001_1HAE_24H:BRD-K52911425:10,C24,0.192426115,0.212019636,-0.10801434,0.041991173,59,56,43,48
5,LUNG001_1HAE_24H:BRD-K52911425:10,G02,0.073087311,0.038601538,0.061752135,0.163449658,53,55,46,55
5,LUNG001_1HAE_24H:BRD-K52911425:10,D24,0.562559219,-0.118763315,-0.069176226,-0.054018767,66,45,45,56
5,LUNG001_1HAE_24H:BRD-K52911425:10,N02,0.368572144,0.121676424,0.05475576,0.074514668,50,57,50,57
5,LUNG001_1HAE_24H:BRD-K52911425:10,D02,0.371535336,0.14997629,-0.114169939,0.034130079,50,50,42,45
5,LUNG001_1HAE_24H:BRD-K52911425:10,C02,0.267041499,0.29806309,-0.03291015,0.035383015,54,53,50,52
5,LUNG001_1HAE_24H:BRD-K52911425:10,O02,0.315371311,-0.033678601,0.149020267,0.041573835,56,52,49,53
5,LUNG001_1HAE_24H:BRD-K52911425:10,H02,-0.097739944,-0.103365693,-0.251726619,0.061459425,50,51,46,47
5,LUNG001_1HAE_24H:BRD-K52911425:10,M24,0.616634086,0.38687335,0.168257236,0.164223159,63,61,48,53
5,LUNG001_1HAE_24H:BRD-K52911425:10,I02,0.021761259,0.062881852,-0.032062844,-0.182887684,51,53,45,46
5,LUNG001_1HAE_24H:BRD-K52911425:10,J02,0.355441491,0.338421327,-0.120595173,0.061953044,60,54,45,48
5,LUNG001_1HAE_24H:BRD-K52911425:10,H24,0.372903763,-0.106528661,-0.176561872,-0.079291854,53,55,43,45
5,LUNG001_1HAE_24H:BRD-K52911425:10,I24,0.188523432,0.079046573,-0.147640035,-0.256904556,57,54,44,44
5,LUNG001_1HAE_24H:BRD-K52911425:10,K24,0.323120911,0.081196847,-0.035570239,0.089955464,58,48,47,52
5,LUNG001_1HAE_24H:BRD-K52911425:10,J24,0.475696601,0.268506882,-0.068757308,0.313740317,62,59,41,52
5,LUNG001_1HAE_24H:BRD-K52911425:10,G24,0.688073941,0.299927357,0.015271244,0.322058036,77,52,47,50
5,LUNG001_1HAE_24H:BRD-K52911425:10,L24,0.593850866,0.003278722,-0.162604221,0.029550748,56,52,43,47
5,LUNG001_1HAE_24H:BRD-K52911425:10,N24,0.632584381,0.151241709,-0.090373931,0.403408467,59,51,44,58
5,LUNG001_1HAE_24H:BRD-K52911425:10,E02,-0.194334298,-0.127005451,-0.142115783,-0.152894979,40,45,44,50
5,LUNG001_1HAE_24H:BRD-K52911425:10,B24,0.346633246,0.302783002,-0.09317212,0.027016911,58,66,51,49
5,LUNG001_1HAE_24H:BRD-K52911425:10,P02,0.28506882,0.014297486,0.092416769,0.154984379,57,52,54,58
5,LUNG001_1HAE_24H:BRD-K52911425:10,K02,0.05925041,0.02802617,-0.101788163,-0.303881266,52,47,38,42
5,LUNG001_1HAE_24H:BRD-K52911425:10,O24,0.125321106,-0.143963057,-0.369831556,0.074077832,47,46,40,48
5,LUNG001_1HAE_24H:BRD-K52911425:10,M02,0.393138784,0.222156842,0.067912652,-0.066024834,57,54,47,44
5,LUNG001_1HAE_24H:BRD-K52911425:10,A24,0.030452515,-0.204120612,-0.200689496,0.15219836,52,41,45,54
5,LUNG001_1HAE_24H:BRD-K52911425:10,F02,0.125597096,0.117530034,-0.067875356,-0.031842544,51,51,54,48
5,LUNG001_1HAE_24H:BRD-K52911425:10,F24,0.280577402,0.001457853,-0.100985565,0.110793244,56,53,46,52
5,LUNG001_1HAE_24H:BRD-K52911425:10,E24,0.325217792,0.04600271,-0.121665111,0.081404115,59,45,40,54
6,LUNG001_1HAE_24H:BRD-K63068307:10,L02,0.762336701,0.680801932,0.125303242,-0.012601541,59,65,50,48
6,LUNG001_1HAE_24H:BRD-K63068307:10,C24,0.41920469,0.596404005,0.106475447,-0.121098004,61,63,55,46
6,LUNG001_1HAE_24H:BRD-K63068307:10,G02,0.388407769,0.446581444,0.116445386,0.225629927,62,62,57,50
6,LUNG001_1HAE_24H:BRD-K63068307:10,D24,0.87032892,0.210603659,0.141659812,0.179257613,67,58,52,49
6,LUNG001_1HAE_24H:BRD-K63068307:10,N02,0.657675015,0.800780275,0.092819532,0.040076318,60,61,54,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,D02,0.495971937,0.538865766,0.060924584,-0.055570103,68,63,50,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,C02,0.551686106,0.762111754,0.082103569,0.093159093,65,69,59,51
6,LUNG001_1HAE_24H:BRD-K63068307:10,O02,0.735404082,0.172623268,0.135117801,0.135637179,62,56,59,48
6,LUNG001_1HAE_24H:BRD-K63068307:10,H02,0.209009805,0.24004842,0.063965909,-0.061556127,59,47,49,43
6,LUNG001_1HAE_24H:BRD-K63068307:10,M24,1.013300967,0.662768218,0.247836202,-0.019465562,69,65,57,44
6,LUNG001_1HAE_24H:BRD-K63068307:10,I02,0.354642317,0.556805715,0.084417658,-0.157920117,54,60,49,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,J02,0.693166186,0.967409349,0.172605282,-0.075972438,68,67,53,45
6,LUNG001_1HAE_24H:BRD-K63068307:10,H24,0.490927758,0.29065373,0.033007646,-0.338521611,61,58,49,41
6,LUNG001_1HAE_24H:BRD-K63068307:10,I24,0.417000604,0.404983578,-0.021101546,-0.204375094,65,59,48,40
6,LUNG001_1HAE_24H:BRD-K63068307:10,K24,0.810765112,0.505492571,0.168983539,0.040798299,68,60,51,49
6,LUNG001_1HAE_24H:BRD-K63068307:10,J24,0.699775886,0.688622301,0.080573384,0.152384675,60,64,50,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,G24,1.048552701,0.61264249,0.214411623,0.162832062,74,62,53,54
6,LUNG001_1HAE_24H:BRD-K63068307:10,L24,0.667548301,0.232264962,0.075744667,-0.090078333,61,60,51,46
6,LUNG001_1HAE_24H:BRD-K63068307:10,N24,0.727993912,0.577184249,0.174570106,0.371342177,62,64,52,56
6,LUNG001_1HAE_24H:BRD-K63068307:10,E02,0.016145214,0.134635555,0.050923736,-0.152721273,55,53,52,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,B24,0.607294752,0.762772512,-0.017261677,-0.122450803,60,66,49,49
6,LUNG001_1HAE_24H:BRD-K63068307:10,P02,0.625806052,0.195647602,0.122720495,0.187276774,65,54,59,50
6,LUNG001_1HAE_24H:BRD-K63068307:10,K02,0.334990103,0.286835958,-0.009429667,-0.229071257,57,56,50,40
6,LUNG001_1HAE_24H:BRD-K63068307:10,O24,0.263997722,0.124291148,-0.171279714,-0.035837737,59,55,46,48
6,LUNG001_1HAE_24H:BRD-K63068307:10,M02,0.561538827,0.70167341,0.157380265,-0.219222761,65,64,52,44
6,LUNG001_1HAE_24H:BRD-K63068307:10,A24,0.245406286,-0.244077614,0.024341997,0.118234141,54,54,51,47
6,LUNG001_1HAE_24H:BRD-K63068307:10,F02,0.377567167,0.406676074,0.106940594,0.076928317,60,61,55,45
6,LUNG001_1HAE_24H:BRD-K63068307:10,F24,0.590557393,0.419016167,0.043390452,-0.032965601,64,60,52,51
6,LUNG001_1HAE_24H:BRD-K63068307:10,E24,0.549676656,0.31806941,-0.103950677,0.000730573,65,61,50,46
7,LUNG001_1HAE_24H:BRD-A59808129:10,L02,0.090891512,0.172492265,0.250631592,0.261805314,53,60,53,60
7,LUNG001_1HAE_24H:BRD-A59808129:10,C24,-0.210562447,0.110099246,0.156705405,0.008378014,48,53,57,51
7,LUNG001_1HAE_24H:BRD-A59808129:10,G02,-0.341929198,0.067246889,0.26003613,0.264282649,43,53,52,63
7,LUNG001_1HAE_24H:BRD-A59808129:10,D24,0.110713424,-0.131684485,0.175019911,0.187629625,57,42,52,59
7,LUNG001_1HAE_24H:BRD-A59808129:10,N02,-0.074099896,0.18064018,0.206823468,0.154351786,45,54,55,59
7,LUNG001_1HAE_24H:BRD-A59808129:10,D02,-0.144487513,-0.016881516,0.075901491,0.074183927,46,47,54,59
7,LUNG001_1HAE_24H:BRD-A59808129:10,C02,-0.043605793,0.173953764,0.223258119,0.249096063,47,52,60,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,O02,0.012976521,-0.209139734,0.227586705,0.168251375,51,41,62,56
7,LUNG001_1HAE_24H:BRD-A59808129:10,H02,-0.470641522,-0.154004047,-0.006486662,-0.054460344,46,47,50,53
7,LUNG001_1HAE_24H:BRD-A59808129:10,M24,0.378869458,0.278466291,0.386356088,0.272253333,57,59,57,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,I02,-0.34801171,0.030359795,0.149612697,-0.066679756,42,57,53,50
7,LUNG001_1HAE_24H:BRD-A59808129:10,J02,-0.097216783,0.32574573,0.082965767,0.125626398,47,59,54,60
7,LUNG001_1HAE_24H:BRD-A59808129:10,H24,-0.051959481,-0.021953229,0.093721655,-0.100430216,43,47,52,53
7,LUNG001_1HAE_24H:BRD-A59808129:10,I24,-0.114693669,-0.009826953,-0.003312036,-0.075991432,42,53,47,53
7,LUNG001_1HAE_24H:BRD-A59808129:10,K24,-0.001297317,0.017738163,0.163303769,0.218559639,53,49,53,59
7,LUNG001_1HAE_24H:BRD-A59808129:10,J24,0.035284825,0.190384957,0.17707375,0.352418318,48,49,50,60
7,LUNG001_1HAE_24H:BRD-A59808129:10,G24,0.249233596,0.023018629,0.305825657,0.380420076,63,52,59,60
7,LUNG001_1HAE_24H:BRD-A59808129:10,L24,0.043110437,-0.106236836,0.048793215,0.073274558,46,54,51,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,N24,0.156510906,0.302270924,0.183908695,0.476419928,55,59,54,65
7,LUNG001_1HAE_24H:BRD-A59808129:10,E02,-0.538104354,-0.238919944,0.061214789,0.0173332,32,43,43,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,B24,-0.115232767,0.293440375,0.207885973,0.169602939,48,57,49,63
7,LUNG001_1HAE_24H:BRD-A59808129:10,P02,-0.052386413,0.027804222,0.271795413,0.358647245,44,45,64,61
7,LUNG001_1HAE_24H:BRD-A59808129:10,K02,-0.357759186,-0.025259739,0.01968898,0.024723953,38,52,50,53
7,LUNG001_1HAE_24H:BRD-A59808129:10,O24,-0.315993481,-0.177400607,-0.24349186,0.158762619,37,45,45,54
7,LUNG001_1HAE_24H:BRD-A59808129:10,M02,0.010246008,0.141798039,0.302845723,0.003568048,53,52,52,52
7,LUNG001_1HAE_24H:BRD-A59808129:10,A24,-0.2790618,-0.575083451,-0.008813353,0.283290304,41,36,49,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,F02,-0.180835618,0.016391383,0.227654099,0.070654286,41,54,54,55
7,LUNG001_1HAE_24H:BRD-A59808129:10,F24,-0.181153261,0.001831848,0.086211438,0.078338659,39,46,54,53
7,LUNG001_1HAE_24H:BRD-A59808129:10,E24,-0.062707049,-0.145955657,-0.023363722,0.182535657,48,43,43,55
8,LUNG001_1HAE_24H:BRD-K02113016:10,L02,0.371729521,0.20476401,-0.103673946,0.167600275,62,58,39,54
8,LUNG001_1HAE_24H:BRD-K02113016:10,C24,0.069768941,0.155134407,-0.013977559,0.068382957,55,50,49,53
8,LUNG001_1HAE_24H:BRD-K02113016:10,G02,-0.243304116,0.006387201,-0.156368161,0.256229845,45,54,45,61
8,LUNG001_1HAE_24H:BRD-K02113016:10,D24,0.397548749,-0.154131941,-0.155623661,0.263625866,62,36,45,61
8,LUNG001_1HAE_24H:BRD-K02113016:10,N02,0.149348138,0.17077527,-0.021898636,0.17391821,59,54,50,59
8,LUNG001_1HAE_24H:BRD-K02113016:10,D02,0.174837962,0.031255354,-0.144598618,0.141042372,52,51,42,56
8,LUNG001_1HAE_24H:BRD-K02113016:10,C02,0.168283409,0.274547279,0.047874193,0.167024537,59,57,47,59
8,LUNG001_1HAE_24H:BRD-K02113016:10,O02,0.186577302,-0.13103773,0.06054125,0.26715503,54,43,52,58
8,LUNG001_1HAE_24H:BRD-K02113016:10,H02,-0.230189413,-0.043755449,-0.149745721,0.114037618,46,44,42,54
8,LUNG001_1HAE_24H:BRD-K02113016:10,M24,0.641278125,0.2103234,0.059034712,0.229066487,70,60,44,60
8,LUNG001_1HAE_24H:BRD-K02113016:10,I02,-0.002829605,0.084172711,-0.124409372,0.018833083,52,52,44,49
8,LUNG001_1HAE_24H:BRD-K02113016:10,J02,0.183110618,0.293424606,-0.137684518,0.117478324,53,61,41,56
8,LUNG001_1HAE_24H:BRD-K02113016:10,H24,0.199631911,-0.017938115,-0.184480634,0.024073205,51,49,49,56
8,LUNG001_1HAE_24H:BRD-K02113016:10,I24,0.057438561,0.065891514,-0.242044258,0.029821594,56,49,43,54
